X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
2.75, 0, 0.5, -0.619699, 3.58773, 8.44114
2.75, 0.25, 0.5, -0.612593, 3.38538, 8.54953
2.75, 0.5, 0.5, -0.617351, 3.24922, 8.43321
2.75, 0.75, 0.5, -0.618783, 3.09392, 8.36969
2.75, 1, 0.5, -0.611325, 2.89575, 8.47933
2.75, 1.25, 0.5, -0.626224, 2.80153, 8.19363
2.75, 1.5, 0.5, -0.640538, 2.697, 7.90707
2.75, 1.75, 0.5, -0.63637, 2.51199, 7.95938
2.75, 2, 0.5, -0.645633, 2.37865, 7.78853
2.75, 2.25, 0.5, -0.66922, 2.28944, 7.39392
2.75, 2.5, 0.5, -0.660233, 2.08495, 7.50214
2.75, 2.75, 0.5, -0.685578, 1.98457, 7.10923
2.75, 3, 0.5, -0.594283, 1.5639, 8.61982
2.75, 3.25, 0.5, -0.613645, 1.45337, 8.22226
3, 0, 0.5, -1.03456, 4.74173, 5.97092
3, 0.25, 0.5, -1.03944, 4.54756, 5.91374
3, 0.5, 0.5, -1.02972, 4.2905, 5.9635
3, 0.75, 0.5, -1.04221, 4.12541, 5.85212
3, 1, 0.5, -1.04787, 3.92953, 5.79426
3, 1.25, 0.5, -1.04552, 3.70287, 5.79081
3, 1.5, 0.5, -0.947055, 3.15685, 6.5503
3, 1.75, 0.5, -1.03298, 3.22805, 5.83818
3, 2, 0.5, -1.02368, 2.98575, 5.88898
3, 2.25, 0.5, -0.999618, 2.7073, 6.04823
3, 2.5, 0.5, -1.04979, 2.62448, 5.66818
3, 2.75, 0.5, -1.06252, 2.43495, 5.55301
3.25, 0, 0.5, -1.51699, 5.75409, 4.69207
3.25, 0.25, 0.5, -1.51297, 5.47799, 4.68983
3.25, 0.5, 0.5, -1.50947, 5.20505, 4.6856
3.25, 0.75, 0.5, -1.49315, 4.89135, 4.734
3.25, 1, 0.5, -1.50213, 4.66177, 4.6804
3.25, 1.25, 0.5, -1.51137, 4.42987, 4.6258
3.25, 1.5, 0.5, -1.49509, 4.12437, 4.67438
3.25, 1.75, 0.5, -1.49193, 3.85844, 4.67087
3.25, 2, 0.5, -1.50128, 3.62378, 4.61673
3.25, 2.25, 0.5, -0.928939, 2.08211, 8.46745
3.25, 2.5, 0.5, -0.882782, 1.82644, 9.24832
3.25, 2.75, 0.5, -0.887285, 1.68278, 9.131
3.25, 3, 0.5, -0.873754, 1.50647, 9.35959
3.25, 3.25, 0.5, -0.88624, 1.3752, 9.12683
3.25, 3.5, 0.5, -0.921991, 1.27171, 8.45057
3.25, 3.75, 0.5, -0.938062, 1.13214, 8.33834
3.25, 4, 0.5, -0.993903, 1.02818, 8.11011
3.25, 4.25, 0.5, -1.15377, 0.994629, 8.63912
3.25, 6.75, 0.5, -1.15377, -0.994629, 8.63912
