X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
2.75, 0, 0.5, -0.59901, 3.46795, 8.83045
2.75, 0.25, 0.5, -0.60956, 3.36862, 8.59806
2.75, 0.5, 0.5, -0.614236, 3.23282, 8.48159
2.75, 0.75, 0.5, -0.60668, 3.0334, 8.58843
2.75, 1, 0.5, -0.620519, 2.9393, 8.30181
2.75, 1.25, 0.5, -0.632656, 2.8303, 8.07307
2.75, 1.5, 0.5, -0.633728, 2.66833, 8.01106
2.75, 1.75, 0.5, -0.646369, 2.55146, 7.78448
2.75, 2, 0.5, -0.641771, 2.36442, 7.83728
2.75, 2.25, 0.5, -0.629741, 2.15438, 7.99947
2.75, 2.5, 0.5, -0.652876, 2.06171, 7.60526
2.75, 2.75, 0.5, -0.68156, 1.97294, 7.15572
2.75, 3, 0.5, -0.590957, 1.55515, 8.6693
2.75, 3.25, 0.5, -0.614147, 1.45456, 8.21438
3, 0, 0.5, -1.0342, 4.74007, 5.96364
3, 0.25, 0.5, -1.03953, 4.54793, 5.90483
3, 0.5, 0.5, -1.02932, 4.28884, 5.95556
3, 0.75, 0.5, -1.01953, 4.03565, 6.0057
3, 1, 0.5, -1.02458, 3.84219, 5.94811
3, 1.25, 0.5, -1.02987, 3.64745, 5.89109
3, 1.5, 0.5, -0.935599, 3.11866, 6.65738
3, 1.75, 0.5, -1.04092, 3.25287, 5.77613
3, 2, 0.5, -1.03877, 3.02974, 5.77308
3, 2.25, 0.5, -0.999882, 2.70801, 6.03959
3, 2.5, 0.5, -1.05597, 2.63993, 5.60099
3, 2.75, 0.5, -1.04649, 2.39821, 5.6516
3.25, 0, 0.5, -1.51687, 5.75364, 4.68449
3.25, 0.25, 0.5, -1.51314, 5.4786, 4.68108
3.25, 0.5, 0.5, -1.50932, 5.20455, 4.67741
3.25, 0.75, 0.5, -1.50543, 4.9316, 4.67504
3.25, 1, 0.5, -1.50182, 4.66083, 4.67199
3.25, 1.25, 0.5, -1.49866, 4.39262, 4.66848
3.25, 1.5, 0.5, -1.49496, 4.12404, 4.66623
3.25, 1.75, 0.5, -1.49141, 3.85708, 4.6631
3.25, 2, 0.5, -1.48841, 3.59271, 4.65948
3.25, 2.25, 0.5, -0.92242, 2.06749, 8.56811
3.25, 2.5, 0.5, -0.863311, 1.78616, 9.58926
3.25, 2.75, 0.5, -0.881019, 1.6709, 9.23759
3.25, 3, 0.5, -0.873776, 1.50651, 9.35149
3.25, 3.25, 0.5, -0.889852, 1.38081, 9.06534
3.25, 3.5, 0.5, -0.914758, 1.26174, 8.55077
3.25, 3.75, 0.5, -0.942618, 1.13764, 8.37885
3.25, 4, 0.5, -0.992994, 1.02724, 8.10269
3.25, 4.25, 0.5, -1.15257, 0.993592, 8.63011
3.25, 6.75, 0.5, -1.15257, -0.993592, 8.63011
3.25, 7, 0.5, -0.992994, -1.02724, 8.10269
3.25, 7.25, 0.5, -0.942618, -1.13764, 8.37885
3.25, 7.5, 0.5, -0.914758, -1.26174, 8.55077
3.25, 7.75, 0.5, -0.889852, -1.38081, 9.06534
3.25, 8, 0.5, -0.873776, -1.50651, 9.35149
3.5, 0, 0.5, -1.87046, 6.05149, 4.40713
3.5, 0.25, 0.5, -1.86584, 5.76217, 4.40514
3.5, 0.5, 0.5, -1.8616, 5.47528, 4.40103
3.5, 0.75, 0.5, -1.85718, 5.18917, 4.39797
3.5, 1, 0.5, -1.83007, 4.84431, 4.44089
3.5, 1.25, 0.5, -1.8483, 4.62075, 4.39289
3.5, 1.5, 0.5, -1.84419, 4.33928, 4.38899
3.5, 1.75, 0.5, -1.13722, 2.50857, 8.06192
3.5, 2, 0.5, -1.1356, 2.33801, 8.05885
3.5, 2.25, 0.5, -1.13399, 2.16793, 8.05653
3.5, 2.5, 0.5, -1.13246, 1.99847, 8.05327
3.5, 2.75, 0.5, -1.13108, 1.82969, 8.05131
3.5, 3, 0.5, -1.13049, 1.66248, 8.04812
3.5, 3.25, 0.5, -1.12331, 1.48674, 8.09467
3.5, 3.5, 0.5, -1.12308, 1.32127, 8.093
3.5, 3.75, 0.5, -1.12406, 1.15712, 8.09468
3.5, 4, 0.5, -1.12532, 0.992931, 8.04192
3.5, 4.25, 0.5, -1.14165, 0.839445, 8.03647
3.5, 5.25, 0.5, -1.33827, 0.196804, 7.67131
3.5, 5.5, 0.5, -1.353, 1.65695e-16, 7.6714
3.5, 5.75, 0.5, -1.33827, -0.196804, 7.67131
3.5, 6, 0.5, -1.30633, -0.384215, 7.72236
3.5, 6.25, 0.5, -1.25419, -0.553318, 7.77431
3.5, 6.5, 0.5, -1.1973, -0.704293, 7.87788
3.5, 6.75, 0.5, -1.14165, -0.839445, 8.03647
3.5, 7, 0.5, -1.12532, -0.992931, 8.04192
3.5, 7.25, 0.5, -1.12406, -1.15712, 8.09468
3.5, 7.5, 0.5, -1.12308, -1.32127, 8.093
3.5, 7.75, 0.5, -1.12331, -1.48674, 8.09467
3.5, 8, 0.5, -1.13049, -1.66248, 8.04812
3.75, 0, 0.5, -2.16854, 6.11641, 4.35779
3.75, 0.25, 0.5, -2.16338, 5.82447, 4.35471
3.75, 0.5, 0.5, -2.15831, 5.53412, 4.35162
3.75, 0.75, 0.5, -2.12691, 5.18094, 4.39489
3.75, 1, 0.5, -2.12208, 4.8971, 4.3921
3.75, 1.25, 0.5, -1.32548, 2.88886, 7.95505
3.75, 1.5, 0.5, -1.32864, 2.72542, 7.90622
3.75, 1.75, 0.5, -1.32701, 2.55194, 7.90269
