X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
2.5, 3.25, 0.5, -0.639111, 0.684761, 5.31121
2.75, 0, 0.5, -0.633728, 2.66833, 8.01106
2.75, 0.25, 0.5, -0.646369, 2.55146, 7.78448
2.75, 0.5, 0.5, -0.641771, 2.36442, 7.83728
2.75, 0.75, 0.5, -0.629741, 2.15438, 7.99947
2.75, 1, 0.5, -0.652876, 2.06171, 7.60526
2.75, 1.25, 0.5, -0.68156, 1.97294, 7.15572
2.75, 1.5, 0.5, -0.590957, 1.55515, 8.6693
2.75, 1.75, 0.5, -0.614147, 1.45456, 8.21438
2.75, 2, 0.5, -0.6892, 1.45095, 6.98085
2.75, 2.25, 0.5, -0.708321, 1.3048, 6.70123
2.75, 2.5, 0.5, -0.690939, 1.09096, 6.91901
2.75, 2.75, 0.5, -0.710203, 0.934478, 6.63923
2.75, 3, 0.5, -0.752637, 0.79225, 6.19596
3, 0, 0.5, -0.935599, 3.11866, 6.65738
3, 0.25, 0.5, -1.04092, 3.25287, 5.77613
3, 0.5, 0.5, -1.03877, 3.02974, 5.77308
3, 0.75, 0.5, -0.999882, 2.70801, 6.03959
3, 1, 0.5, -1.05597, 2.63993, 5.60099
3, 1.25, 0.5, -1.04649, 2.39821, 5.6516
3, 1.5, 0.5, -1.00157, 2.0866, 5.97791
3, 1.75, 0.5, -1.03514, 1.94089, 5.70063
3, 2, 0.5, -1.07087, 1.78478, 5.42652
3, 2.25, 0.5, -1.06974, 1.56004, 5.42442
3, 2.5, 0.5, -1.06768, 1.3346, 5.42253
3, 2.75, 0.5, -1.09847, 1.14424, 5.20284
3, 3, 0.5, -1.11177, 0.926474, 5.0913
3, 7, 0.5, -0.692789, -1.73197, 10.5792
3, 7.25, 0.5, -0.654774, -1.77335, 10.7208
3, 7.5, 0.5, -0.659067, -1.92228, 10.5443
3, 7.75, 0.5, -0.645226, -2.01633, 10.9681
3, 8, 0.5, -0.63386, -2.11287, 11.3309
3.25, 0, 0.5, -1.49496, 4.12404, 4.66623
3.25, 0.25, 0.5, -1.49141, 3.85708, 4.6631
3.25, 0.5, 0.5, -1.48841, 3.59271, 4.65948
3.25, 0.75, 0.5, -1.49799, 3.35756, 4.60581
3.25, 1, 0.5, -1.48206, 3.06633, 4.65444
3.25, 1.25, 0.5, -1.47922, 2.80542, 4.65258
