X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
3.75, 0, 0.5, -2.17172, 0.334111, 7.88846
3.75, 0.25, 0.5, -2.15986, 0.166143, 7.9446
3.75, 0.5, 0.5, -2.18276, 2.6731e-16, 7.83204
3.75, 0.75, 0.5, -2.15986, -0.166143, 7.9446
3.75, 1, 0.5, -2.17172, -0.334111, 7.88846
3.75, 1.25, 0.5, -2.10583, -0.485961, 8.22585
3.75, 1.5, 0.5, -2.15191, -0.662126, 8.00186
3.75, 1.75, 0.5, -2.18603, -0.840781, 7.83531
3.75, 2, 0.5, -2.09146, -0.965288, 8.34452
3.75, 2.25, 0.5, -2.11553, -1.13913, 8.23266
4, 0, 0.5, -2.474, 0.353429, 7.38728
4, 0.25, 0.5, -2.44438, 0.174599, 7.49833
4, 0.5, 0.5, -2.44421, 2.99329e-16, 7.49878
4, 0.75, 0.5, -2.44438, -0.174599, 7.49833
4, 1, 0.5, -2.474, -0.353429, 7.38728
4, 1.25, 0.5, -2.44702, -0.524361, 7.49936
4, 1.5, 0.5, -2.476, -0.707429, 7.38905
4, 1.75, 0.5, -2.42183, -0.864938, 7.61234
4, 2, 0.5, -2.46353, -1.0558, 7.44668
4, 2.25, 0.5, -2.48075, -1.24038, 7.3927
4, 5.25, 0.5, -2.18458, -2.96479, 9.00761
4, 5.5, 0.5, -2.18755, -3.12507, 9.01244
4, 5.75, 0.5, -2.12301, -3.18451, 9.41773
4, 6, 0.5, -2.25984, -3.55118, 8.67803
4, 6.25, 0.5, -2.08324, -3.42247, 9.71663
4, 6.5, 0.5, -2.18416, -3.74428, 9.14587
4, 6.75, 0.5, -2.05781, -3.67466, 9.96061
4, 7, 0.5, -2.03534, -3.77992, 10.142
4, 7.25, 0.5, -2.01437, -3.88485, 10.3237
4, 7.5, 0.5, -1.9713, -3.94259, 10.6846
4, 7.75, 0.5, -2.14567, -4.44461, 9.51646
4, 8, 0.5, -2.11326, -4.52842, 9.75582
4.25, 0, 0.5, -1.97976, 0.263968, 11.3271
4.25, 0.25, 0.5, -2.13119, 0.142079, 10.0708
4.25, 0.5, 0.5, -2.13098, 2.6097e-16, 10.0702
4.25, 0.75, 0.5, -2.13119, -0.142079, 10.0708
4.25, 1, 0.5, -1.97976, -0.263968, 11.3271
4.25, 1.25, 0.5, -2.19495, -0.43899, 9.6623
4.25, 1.5, 0.5, -1.9617, -0.523119, 11.5141
4.25, 1.75, 0.5, -1.94687, -0.648956, 11.6385
4.25, 2, 0.5, -1.93573, -0.774293, 11.7617
4.25, 2.25, 0.5, -1.98758, -0.927538, 11.2718
4.25, 2.5, 0.5, -1.96951, -1.05041, 11.4584
4.25, 5.75, 0.5, -1.96256, -2.74758, 11.8017
4.25, 6, 0.5, -1.93921, -2.84417, 12.0532
4.25, 6.25, 0.5, -1.96693, -3.01596, 11.8102
4.25, 6.5, 0.5, -1.95198, -3.12317, 11.9996
4.25, 6.75, 0.5, -1.93036, -3.21726, 12.2525
4.25, 7, 0.5, -1.95658, -3.39141, 12.0099
4.25, 7.25, 0.5, -1.93624, -3.48523, 12.2623
4.25, 7.5, 0.5, -1.95645, -3.65204, 12.0816
4.25, 7.75, 0.5, -1.94147, -3.75351, 12.2729
4.25, 8, 0.5, -1.92643, -3.85285, 12.466
4.5, 0, 0.5, -2.84594, 0.355743, 7.43949
4.5, 0.25, 0.5, -2.84425, 0.177766, 7.43966
4.5, 0.5, 0.5, -2.84406, 3.48297e-16, 7.43901
4.5, 0.75, 0.5, -2.84425, -0.177766, 7.43966
4.5, 1, 0.5, -2.84594, -0.355743, 7.43949
4.5, 1.25, 0.5, -2.82925, -0.530484, 7.4954
4.5, 1.5, 0.5, -2.81583, -0.703957, 7.55167
4.5, 1.75, 0.5, -2.80002, -0.875007, 7.60865
4.5, 2, 0.5, -2.77275, -1.03978, 7.72543
4.5, 2.25, 0.5, -2.74426, -1.20061, 7.8378
4.5, 2.5, 0.5, -2.71822, -1.35911, 7.9511
4.5, 4.25, 0.5, -1.86212, -1.74573, 14.4757
4.5, 4.5, 0.5, -1.84051, -1.84051, 14.7457
4.5, 4.75, 0.5, -1.85416, -1.97005, 14.5492
4.5, 5, 0.5, -1.86432, -2.09736, 14.4206
4.5, 5.25, 0.5, -1.90052, -2.25687, 13.8954
4.5, 5.5, 0.5, -1.91791, -2.39739, 13.7048
4.5, 5.75, 0.5, -1.89071, -2.48156, 14.0968
4.5, 6, 0.5, -2.98465, -4.10389, 7.26646
4.5, 6.25, 0.5, -2.93622, -4.22082, 7.43708
