X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
2.5, 1.75, 0.5, -0.639111, 0.684761, 5.31121
2.5, 2, 0.5, -0.698585, 0.498989, 4.86684
2.5, 2.25, 0.5, -0.753891, 0.269247, 4.53824
2.5, 2.5, 0.5, -0.780992, 9.5644e-17, 4.42749
2.75, 0, 0.5, -0.590957, 1.55515, 8.6693
2.75, 0.25, 0.5, -0.614147, 1.45456, 8.21438
2.75, 0.5, 0.5, -0.6892, 1.45095, 6.98085
2.75, 0.75, 0.5, -0.708321, 1.3048, 6.70123
2.75, 1, 0.5, -0.690939, 1.09096, 6.91901
2.75, 1.25, 0.5, -0.710203, 0.934478, 6.63923
2.75, 1.5, 0.5, -0.752637, 0.79225, 6.19596
2.75, 1.75, 0.5, -0.803338, 0.634214, 5.80235
2.75, 2, 0.5, -0.854127, 0.44954, 5.47179
2.75, 2.25, 0.5, -0.886059, 0.233173, 5.19413
2.75, 2.5, 0.5, -0.897272, 1.09884e-16, 5.08778
2.75, 7.25, 0.5, -0.60668, -3.0334, 8.58843
2.75, 7.5, 0.5, -0.614236, -3.23282, 8.48159
2.75, 7.75, 0.5, -0.60956, -3.36862, 8.59806
2.75, 8, 0.5, -0.59901, -3.46795, 8.83045
3, 0, 0.5, -1.00157, 2.0866, 5.97791
3, 0.25, 0.5, -1.03514, 1.94089, 5.70063
3, 0.5, 0.5, -1.07087, 1.78478, 5.42652
3, 0.75, 0.5, -1.06974, 1.56004, 5.42442
3, 1, 0.5, -1.06768, 1.3346, 5.42253
3, 1.25, 0.5, -1.09847, 1.14424, 5.20284
3, 1.5, 0.5, -1.11177, 0.926474, 5.0913
3, 1.75, 0.5, -1.08783, 0.679894, 5.25439
3, 2, 0.5, -1.10115, 0.458813, 5.1427
3, 2.25, 0.5, -1.09435, 0.227989, 5.19995
3, 2.5, 0.5, -1.11824, 1.36944e-16, 5.0364
3, 5.5, 0.5, -0.692789, -1.73197, 10.5792
3, 5.75, 0.5, -0.654774, -1.77335, 10.7208
3, 6, 0.5, -0.659067, -1.92228, 10.5443
3, 6.25, 0.5, -0.645226, -2.01633, 10.9681
3, 6.5, 0.5, -0.63386, -2.11287, 11.3309
3, 6.75, 0.5, -0.621467, -2.20103, 11.766
3, 7, 0.5, -0.629247, -2.35968, 11.523
3, 7.25, 0.5, -0.619225, -2.4511, 11.8938
3, 7.5, 0.5, -0.627533, -2.61472, 11.6578
3, 7.75, 0.5, -0.56413, -2.46807, 14.2721
3, 8, 0.5, -0.557433, -2.5549, 14.6794
3.25, 0, 0.5, -1.47638, 2.54548, 4.65032
3.25, 0.25, 0.5, -1.48595, 2.30578, 4.59764
3.25, 0.5, 0.5, -1.48361, 2.04636, 4.59483
3.25, 0.75, 0.5, -1.48124, 1.78771, 4.59313
3.25, 1, 0.5, -1.46617, 1.51673, 4.64338
3.25, 1.25, 0.5, -1.4772, 1.27345, 4.59022
3.25, 1.5, 0.5, -1.47557, 1.01763, 4.58902
3.25, 1.75, 0.5, -1.4612, 0.755791, 4.63997
3.25, 2, 0.5, -1.46909, 0.506581, 4.58316
3.25, 2.25, 0.5, -1.48028, 0.25522, 4.53236
3.25, 2.5, 0.5, -1.4599, 1.78786e-16, 4.63807
3.25, 2.75, 0.5, -1.48028, -0.25522, 4.53236
3.25, 3.75, 0.5, -1.15257, -0.993592, 8.63011
3.25, 4, 0.5, -0.992994, -1.02724, 8.10269
3.25, 4.25, 0.5, -0.942618, -1.13764, 8.37885
3.25, 4.5, 0.5, -0.914758, -1.26174, 8.55077
3.25, 4.75, 0.5, -0.889852, -1.38081, 9.06534
3.25, 5, 0.5, -0.873776, -1.50651, 9.35149
3.25, 5.25, 0.5, -0.881019, -1.6709, 9.23759
3.25, 5.5, 0.5, -0.863311, -1.78616, 9.58926
3.25, 5.75, 0.5, -0.92242, -2.06749, 8.56811
3.25, 6, 0.5, -0.923055, -2.22806, 8.57087
3.25, 6.25, 0.5, -0.92443, -2.39077, 8.57429
3.25, 6.5, 0.5, -0.930458, -2.56678, 8.52551
3.25, 6.75, 0.5, -0.924815, -2.71067, 8.63899
3.25, 7, 0.5, -0.929145, -2.88355, 8.58392
3.25, 7.25, 0.5, -0.930645, -3.04867, 8.58762
3.25, 7.5, 0.5, -0.933497, -3.21896, 8.59796
3.25, 7.75, 0.5, -0.927198, -3.35709, 8.70556
3.25, 8, 0.5, -0.932516, -3.53713, 8.6581
3.5, 0, 0.5, -1.81486, 2.66891, 4.37275
3.5, 0.25, 0.5, -1.81158, 2.39768, 4.37082
3.5, 0.5, 0.5, -1.80856, 2.12771, 4.36887
3.5, 0.75, 0.5, -1.80532, 1.85842, 4.36763
3.5, 1, 0.5, -1.80328, 1.59113, 4.36578
