X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 0, 0.5, 3.44167, 3.01217, 8.39804
0, 0.25, 0.5, 3.43324, 2.81862, 8.39403
0, 0.5, 0.5, 3.40302, 2.60926, 8.43676
0, 0.75, 0.5, 3.37386, 2.40394, 8.48036
0, 1, 0.5, 3.93435, 2.58995, 7.45387
0, 1.25, 0.5, 3.89541, 2.35307, 7.4934
0, 1.5, 0.5, 3.77365, 2.07488, 7.66597
0, 1.75, 0.5, 3.7652, 1.86605, 7.66404
0, 2, 0.5, 3.97701, 1.75536, 7.33712
0, 2.25, 0.5, 3.87865, 1.50161, 7.46411
0, 2.5, 0.5, 3.90387, 1.29967, 7.41815
0, 2.75, 0.5, 3.83815, 1.06965, 7.50436
0, 3, 0.5, 3.77685, 0.847758, 7.59049
0, 3.25, 0.5, 3.80151, 0.647142, 7.5451
0, 3.5, 0.5, 3.71576, 0.431043, 7.67746
0, 3.75, 0.5, 3.71568, 0.229537, 7.67693
0, 4, 0.5, 3.74218, 0.0282402, 7.63186
0, 4.25, 0.5, 3.74254, -0.17471, 7.63217
0, 4.5, 0.5, 3.71671, -0.375057, 7.67664
0, 4.75, 0.5, 3.80058, -0.589622, 7.54484
0, 5, 0.5, 3.74849, -0.784816, 7.63495
0, 5.25, 0.5, 3.80811, -1.00381, 7.54736
0, 5.5, 0.5, 3.81443, -1.21232, 7.54858
0, 5.75, 0.5, 3.84773, -1.43157, 7.50714
0, 6, 0.5, 3.88345, -1.65545, 7.46585
0, 6.25, 0.5, 3.98227, -1.91353, 7.33854
0, 6.5, 0.5, 3.84151, -2.05421, 7.55896
0, 6.75, 0.5, 3.7792, -2.22583, 7.6688
0, 7, 0.5, 3.7595, -2.4181, 7.717
0, 7.25, 0.5, 3.32999, -2.32243, 8.5749
0, 7.5, 0.5, 3.33907, -2.50983, 8.57851
0, 7.75, 0.5, 3.36779, -2.71405, 8.53467
0, 8, 0.5, 3.48504, -2.99753, 8.30182
0.25, 0, 0.5, 3.28818, 3.04284, 8.29913
0.25, 0.25, 0.5, 3.1572, 2.74061, 8.57878
0.25, 0.5, 0.5, 3.48771, 2.82753, 7.85549
0.25, 0.75, 0.5, 3.63358, 2.73745, 7.58341
0.25, 1, 0.5, 3.75151, 2.61119, 7.38673
0.25, 1.25, 0.5, 3.77149, 2.40885, 7.33998
0.25, 1.5, 0.5, 3.73229, 2.1698, 7.3802
0.25, 1.75, 0.5, 3.63916, 1.907, 7.50738
0.25, 2, 0.5, 3.63182, 1.69492, 7.50501
0.25, 2.25, 0.5, 3.57114, 1.46183, 7.59016
0.25, 2.5, 0.5, 3.48789, 1.22777, 7.72179
0.25, 2.75, 0.5, 3.56093, 1.0493, 7.58617
0.25, 3, 0.5, 3.52883, 0.837503, 7.62916
0.25, 3.25, 0.5, 3.50119, 0.630192, 7.67251
