X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
4.75, 0, 0.5, -0.127275, 3.67068, 6.94289
4.75, 0.25, 0.5, -0.126489, 3.42198, 6.93727
4.75, 0.5, 0.5, -0.127351, 3.21771, 6.87586
4.75, 0.75, 0.5, -0.125399, 2.94432, 6.91108
4.75, 1, 0.5, -0.122834, 2.66458, 6.97438
4.75, 1.25, 0.5, -0.131283, 2.61327, 6.63325
4.75, 1.5, 0.5, -0.134913, 2.44443, 6.48942
4.75, 1.75, 0.5, -0.138129, 2.25587, 6.36209
4.75, 2, 0.5, -0.143405, 2.08576, 6.19529
4.75, 2.25, 0.5, -0.139346, 1.77772, 6.25396
4.75, 2.5, 0.5, -0.137724, 1.51091, 6.24238
4.75, 2.75, 0.5, -0.145985, 1.34067, 6.0397
4.75, 3, 0.5, -0.146817, 1.08595, 5.99556
4.75, 3.25, 0.5, -0.179273, 1.00566, 5.79328
4.75, 3.5, 0.5, -0.357881, 1.36806, 7.14874
4.75, 4.5, 0.5, -0.511868, -1.70212, 9.35617
4.75, 4.75, 0.5, -0.193942, -0.991491, 5.72959
4.75, 5, 0.5, -0.150743, -1.04002, 5.95846
4.75, 5.25, 0.5, -0.143738, -1.24855, 6.07146
4.75, 5.5, 0.5, -0.137157, -1.43649, 6.2413
4.75, 5.75, 0.5, -0.13867, -1.70013, 6.25277
4.75, 6, 0.5, -0.141518, -1.98794, 6.22958
4.75, 6.25, 0.5, -0.137633, -2.17931, 6.36074
4.75, 6.5, 0.5, -0.135813, -2.39319, 6.45024
4.75, 6.75, 0.5, -0.133981, -2.60033, 6.54201
4.75, 7, 0.5, -0.122573, -2.59796, 6.97296
4.75, 7.25, 0.5, -0.126707, -2.912, 6.85541
4.75, 7.5, 0.5, -0.124962, -3.09521, 6.95634
4.75, 7.75, 0.5, -0.127872, -3.3958, 6.88002
4.75, 8, 0.5, -0.12923, -3.66279, 6.85992
5, 0, 0.5, -0.340391, 3.52246, 7.15084
5, 0.25, 0.5, -0.349843, 3.39595, 6.97877
5, 0.5, 0.5, -0.349043, 3.16439, 6.95772
5, 0.75, 0.5, -0.346642, 2.92036, 6.95349
5, 1, 0.5, -0.341404, 2.65732, 6.98964
5, 1.25, 0.5, -0.369397, 2.63835, 6.59521
5, 1.5, 0.5, -0.374831, 2.43683, 6.50097
5, 1.75, 0.5, -0.393021, 2.30308, 6.28951
5, 2, 0.5, -0.390589, 2.03839, 6.27596
5, 2.25, 0.5, -0.383209, 1.75416, 6.29883
5, 2.5, 0.5, -0.394795, 1.55406, 6.16567
5, 2.75, 0.5, -0.386198, 1.27259, 6.19093
5, 3, 0.5, -0.409097, 1.08574, 5.99939
5, 3.25, 0.5, -0.45986, 0.925605, 5.86012
5, 3.5, 0.5, -0.588448, 0.80712, 5.6648
5, 3.75, 0.5, -1.42609, 1.04164, 9.35485
5, 4.25, 0.5, -2.1111, -1.16525, 13.2436
5, 4.5, 0.5, -1.05415, -1.25776, 7.25718
5, 4.75, 0.5, -0.491556, -0.901683, 5.82421
5, 5, 0.5, -0.40904, -1.01259, 5.99599
5, 5.25, 0.5, -0.400393, -1.24791, 6.0771
5, 5.5, 0.5, -0.393093, -1.47721, 6.1653
5, 5.75, 0.5, -0.391356, -1.72161, 6.2179
5, 6, 0.5, -0.394849, -1.99016, 6.22989
5, 6.25, 0.5, -0.387955, -2.20416, 6.32516
5, 6.5, 0.5, -0.379053, -2.39663, 6.45037
5, 6.75, 0.5, -0.370255, -2.57841, 6.58092
5, 7, 0.5, -0.334899, -2.54693, 7.07182
5, 7.25, 0.5, -0.353464, -2.91475, 6.85531
5, 7.5, 0.5, -0.357389, -3.17627, 6.8344
5, 7.75, 0.5, -0.346197, -3.29878, 7.01872
5, 8, 0.5, -0.351152, -3.57115, 6.98299
5.25, 0, 0.5, -0.552331, 3.48264, 7.21111
5.25, 0.25, 0.5, -0.58425, 3.45564, 6.89761
5.25, 0.5, 0.5, -0.573212, 3.16641, 6.95949
5.25, 0.75, 0.5, -0.579482, 2.97465, 6.87144
5.25, 1, 0.5, -0.556083, 2.63728, 7.0319
5.25, 1.25, 0.5, -0.558903, 2.4323, 6.97107
5.25, 1.5, 0.5, -0.616069, 2.44039, 6.50284
5.25, 1.75, 0.5, -0.618775, 2.20936, 6.44853
5.25, 2, 0.5, -0.64261, 2.04341, 6.27726
5.25, 2.25, 0.5, -0.647299, 1.80543, 6.21981
5.25, 2.5, 0.5, -0.641492, 1.53861, 6.20872
5.25, 2.75, 0.5, -0.644911, 1.29485, 6.15751
5.25, 3, 0.5, -0.664288, 1.07423, 6.03873
5.25, 3.25, 0.5, -0.680514, 0.8346, 5.96269
5.25, 3.5, 0.5, -0.788266, 0.658786, 5.82615
