X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 0, 0.5, 1.72271, 4.14032, 7.12866
0, 2, 0.5, 1.98383, 3.05237, 5.83277
0, 5.25, 0.5, 2.34495, 0.312826, 4.59882
0, 7.5, 0.5, 1.93389, -1.62339, 5.93541
0.25, 0, 0.5, 1.54344, 4.15903, 7.07633
0.25, 1.75, 0.5, 1.75612, 3.24232, 5.89326
0.25, 2, 0.5, 1.79293, 3.09299, 5.7281
0.25, 2.75, 0.5, 1.93246, 2.63108, 5.15781
0.25, 4, 0.5, 2.05689, 1.55407, 4.70901
0.25, 4.75, 0.5, 2.10043, 0.823288, 4.54201
0.25, 5.25, 0.5, 2.12559, 0.317928, 4.48497
0.25, 5.5, 0.5, 2.12091, 0.0601852, 4.48507
0.25, 5.75, 0.5, 2.12075, -0.196843, 4.48483
0.25, 6, 0.5, 2.12335, -0.454423, 4.48541
0.25, 7.75, 0.5, 1.72325, -1.83074, 5.93479
0.5, 1.5, 0.5, 1.53162, 3.42903, 5.93363
0.5, 1.75, 0.5, 1.58774, 3.33571, 5.66464
0.5, 2.25, 0.5, 1.63215, 2.97883, 5.44224
0.5, 5, 0.5, 1.88028, 0.579328, 4.42771
0.5, 5.25, 0.5, 1.8919, 0.321999, 4.37145
0.5, 5.5, 0.5, 1.89153, 0.0610784, 4.37104
0.5, 5.75, 0.5, 1.89498, -0.200144, 4.37133
0.5, 8, 0.5, 1.50186, -2.02269, 5.94681
0.75, 1.5, 0.5, 1.32727, 3.44689, 5.8918
0.75, 4.5, 0.5, 1.62434, 1.10022, 4.37144
0.75, 4.75, 0.5, 1.62931, 0.842947, 4.3708
0.75, 5, 0.5, 1.64857, 0.58919, 4.27218
0.75, 5.25, 0.5, 1.6441, 0.324587, 4.31372
0.75, 5.5, 0.5, 1.65441, 0.0619673, 4.25751
0.75, 5.75, 0.5, 1.65727, -0.203038, 4.25763
0.75, 6.75, 0.5, 1.6155, -1.23165, 4.42839
0.75, 7, 0.5, 1.59904, -1.4749, 4.48534
1, 0.5, 0.5, 1.0973, 4.22818, 6.06327
1, 1.5, 0.5, 1.12021, 3.46316, 5.83185
1, 2, 0.5, 1.17819, 3.19367, 5.4439
1, 4, 0.5, 1.35793, 1.61211, 4.42879
1, 4.5, 0.5, 1.37564, 1.10921, 4.31441
1, 4.75, 0.5, 1.38813, 0.854933, 4.25741
1, 5, 0.5, 1.39537, 0.593665, 4.20041
1, 5.25, 0.5, 1.40129, 0.329334, 4.19971
1, 5.5, 0.5, 1.40475, 0.0626363, 4.19995
1, 5.75, 0.5, 1.40381, -0.204738, 4.19986
1, 6.75, 0.5, 1.37588, -1.24872, 4.31498
1, 7, 0.5, 1.35755, -1.4906, 4.4281
1, 7.25, 0.5, 1.34199, -1.72908, 4.48557
1.25, 1.25, 0.5, 0.892276, 3.61725, 5.94956
1.25, 1.5, 0.5, 0.910489, 3.47691, 5.75866
1.25, 4.5, 0.5, 1.12912, 1.12459, 4.20089
