X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 4, 0.5, 3.20657, 9.84201, 6.3786
0, 4.25, 0.5, 3.29562, 9.29142, 6.07988
0, 4.5, 0.5, 3.36626, 8.64903, 5.83598
0, 4.75, 0.5, 3.36161, 7.79667, 5.75236
0, 5, 0.5, 3.6738, 7.60229, 5.07333
0, 6.25, 0.5, 2.52286, 2.06705, 7.68084
0, 6.5, 0.5, 2.6481, 1.50763, 7.17052
0, 6.75, 0.5, 2.75853, 0.88087, 6.76853
0, 7.5, 0.5, 2.70951, -1.16691, 6.94205
0.25, 4, 0.5, 2.81586, 11.5237, 7.12787
0.25, 4.25, 0.5, 2.8664, 10.7751, 6.87074
0.25, 4.5, 0.5, 2.76631, 9.47672, 7.00883
0.25, 4.75, 0.5, 3.0856, 9.54202, 6.02574
0.25, 5, 0.5, 3.2049, 8.84264, 5.66578
0.25, 5.25, 0.5, 3.1928, 7.74499, 5.58824
0.25, 5.5, 0.5, 3.05803, 6.39872, 5.78043
0.25, 7, 0.5, 2.68017, 0.24774, 6.35352
0.25, 7.25, 0.5, 2.6642, -0.641802, 6.433
0.25, 7.5, 0.5, 3.88993, -2.23372, 7.18706
0.5, 4.5, 0.5, 2.23022, 11.4603, 8.97682
0.5, 4.75, 0.5, 2.28552, 10.6017, 8.45931
0.5, 5, 0.5, 2.65865, 11.0032, 6.87472
0.5, 5.25, 0.5, 2.39543, 8.71614, 7.56503
0.5, 5.5, 0.5, 2.69384, 8.45503, 6.40254
0.5, 5.75, 0.5, 2.2446, 5.92272, 7.82211
0.5, 6, 0.5, 2.47275, 5.28835, 6.77362
0.5, 6.5, 0.5, 2.16197, 2.46173, 7.73377
0.5, 6.75, 0.5, 2.38972, 1.5262, 6.69321
0.5, 7, 0.5, 2.51098, 0.348153, 6.26691
0.5, 7.25, 0.5, 2.51404, -0.908444, 6.24818
0.5, 8, 0.5, 2.62968, -4.89475, 6.20783
0.75, 5.75, 0.5, 1.69274, 8.93312, 11.2762
