X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
2.5, 3.25, 0.5, -0.640127, 0.68585, 5.31966
2.75, 0, 0.5, -0.640538, 2.697, 7.90707
2.75, 0.25, 0.5, -0.63637, 2.51199, 7.95938
2.75, 0.5, 0.5, -0.645633, 2.37865, 7.78853
2.75, 0.75, 0.5, -0.66922, 2.28944, 7.39392
2.75, 1, 0.5, -0.660233, 2.08495, 7.50214
2.75, 1.25, 0.5, -0.685578, 1.98457, 7.10923
2.75, 1.5, 0.5, -0.594283, 1.5639, 8.61982
2.75, 1.75, 0.5, -0.613645, 1.45337, 8.22226
2.75, 2, 0.5, -0.685153, 1.44243, 7.044
2.75, 2.25, 0.5, -0.70823, 1.30463, 6.70882
2.75, 2.5, 0.5, -0.712466, 1.12495, 6.65239
2.75, 2.75, 0.5, -0.746024, 0.98161, 6.20701
2.75, 3, 0.5, -0.754084, 0.793773, 6.20317
3, 0, 0.5, -0.947055, 3.15685, 6.5503
3, 0.25, 0.5, -1.03298, 3.22805, 5.83818
3, 0.5, 0.5, -1.02368, 2.98575, 5.88898
3, 0.75, 0.5, -0.999618, 2.7073, 6.04823
3, 1, 0.5, -1.04979, 2.62448, 5.66818
3, 1.25, 0.5, -1.06252, 2.43495, 5.55301
3, 1.5, 0.5, -0.954968, 1.98952, 6.37034
3, 1.75, 0.5, -1.03529, 1.94116, 5.70933
3, 2, 0.5, -1.0709, 1.78483, 5.43418
3, 2.25, 0.5, -1.0549, 1.53839, 5.54459
3, 2.5, 0.5, -1.06844, 1.33554, 5.43093
3, 2.75, 0.5, -1.09795, 1.1437, 5.21121
3, 3, 0.5, -1.11241, 0.927012, 5.09922
3, 7, 0.5, -0.693414, -1.73354, 10.5887
3, 7.25, 0.5, -0.65528, -1.77472, 10.7291
3, 7.5, 0.5, -0.661433, -1.92918, 10.4956
3, 7.75, 0.5, -0.647014, -2.02192, 10.9176
3, 8, 0.5, -0.633322, -2.11107, 11.3387
3.25, 0, 0.5, -1.49509, 4.12437, 4.67438
3.25, 0.25, 0.5, -1.49193, 3.85844, 4.67087
3.25, 0.5, 0.5, -1.50128, 3.62378, 4.61673
3.25, 0.75, 0.5, -1.49795, 3.35747, 4.61502
3.25, 1, 0.5, -1.49459, 3.09226, 4.61216
3.25, 1.25, 0.5, -1.49206, 2.82977, 4.60968
3.25, 1.5, 0.5, -1.48865, 2.56664, 4.60738
3.25, 1.75, 0.5, -1.48628, 2.3063, 4.60484
3.25, 2, 0.5, -1.4834, 2.04607, 4.60391
3.25, 2.25, 0.5, -1.48087, 1.78725, 4.60164
3.25, 2.5, 0.5, -1.46606, 1.51661, 4.65108
3.25, 2.75, 0.5, -1.46493, 1.26287, 4.64987
3.25, 5.25, 0.5, -1.15377, -0.994629, 8.63912
3.25, 5.5, 0.5, -0.993903, -1.02818, 8.11011
3.25, 5.75, 0.5, -0.938062, -1.13214, 8.33834
3.25, 6, 0.5, -0.921991, -1.27171, 8.45057
3.25, 6.25, 0.5, -0.88624, -1.3752, 9.12683
3.25, 6.5, 0.5, -0.873754, -1.50647, 9.35959
3.25, 6.75, 0.5, -0.887285, -1.68278, 9.131
3.25, 7, 0.5, -0.882782, -1.82644, 9.24832
3.25, 7.25, 0.5, -0.928939, -2.08211, 8.46745
3.25, 7.5, 0.5, -0.923674, -2.22956, 8.57906
3.25, 7.75, 0.5, -0.929193, -2.40308, 8.53054
3.25, 8, 0.5, -0.930026, -2.56559, 8.53415
3.5, 0, 0.5, -1.82211, 4.28733, 4.44377
3.5, 0.25, 0.5, -1.8181, 4.01052, 4.44079
3.5, 0.5, 0.5, -1.82912, 3.76583, 4.39099
3.5, 0.75, 0.5, -1.82524, 3.48942, 4.3884
3.5, 1, 0.5, -1.82191, 3.21513, 4.38525
3.5, 1.25, 0.5, -1.81822, 2.94123, 4.38261
3.5, 1.5, 0.5, -1.81494, 2.66903, 4.38093
3.5, 1.75, 0.5, -1.81155, 2.39763, 4.37852
3.5, 2, 0.5, -1.8085, 2.12765, 4.37667
3.5, 2.25, 0.5, -1.80591, 1.85903, 4.37535
3.5, 2.5, 0.5, -1.80344, 1.59127, 4.3739
3.5, 2.75, 0.5, -1.14284, 0.840327, 8.04491
3.5, 3, 0.5, -1.19851, 0.705009, 7.88589
3.5, 3.25, 0.5, -1.25554, 0.553915, 7.7827
3.5, 3.5, 0.5, -1.30766, 0.384607, 7.73024
3.5, 4.5, 0.5, -1.30766, -0.384607, 7.73024
3.5, 4.75, 0.5, -1.25554, -0.553915, 7.7827
3.5, 5, 0.5, -1.19851, -0.705009, 7.88589
3.5, 5.25, 0.5, -1.14284, -0.840327, 8.04491
3.5, 5.5, 0.5, -1.12636, -0.99385, 8.04932
3.5, 5.75, 0.5, -1.11969, -1.15262, 8.1518
3.5, 6, 0.5, -1.12224, -1.32029, 8.10095
3.5, 6.25, 0.5, -1.12853, -1.49364, 8.05515
3.5, 6.5, 0.5, -1.13053, -1.66254, 8.05684
3.5, 6.75, 0.5, -1.13107, -1.82967, 8.05905
3.5, 7, 0.5, -1.13333, -2, 8.06164
3.5, 7.25, 0.5, -1.13418, -2.16828, 8.06466
3.5, 7.5, 0.5, -1.13571, -2.33822, 8.0671
3.5, 7.75, 0.5, -1.13789, -2.51006, 8.0702
3.5, 8, 0.5, -1.13905, -2.68011, 8.07397
3.75, 0, 0.5, -2.11282, 4.334, 4.39404
3.75, 0.25, 0.5, -2.10848, 4.05478, 4.39169
3.75, 0.5, 0.5, -2.1037, 3.77587, 4.38986
3.75, 0.75, 0.5, -2.09923, 3.49872, 4.38694
3.75, 1, 0.5, -2.0953, 3.22353, 4.38481
3.75, 1.25, 0.5, -2.10792, 2.97271, 4.33664
3.75, 1.5, 0.5, -2.08785, 2.67673, 4.37928
3.75, 1.75, 0.5, -2.10116, 2.42441, 4.3324
3.75, 2, 0.5, -2.08066, 2.13401, 4.3764
3.75, 2.25, 0.5, -2.09427, 1.87947, 4.3293
3.75, 2.5, 0.5, -1.29861, 0.998932, 7.98047
3.75, 2.75, 0.5, -1.30338, 0.835498, 7.93431
3.75, 3, 0.5, -1.31148, 0.672551, 7.88826
3.75, 3.25, 0.5, -1.30563, 0.502165, 7.93148
3.75, 3.5, 0.5, -1.34637, 0.345224, 7.88078
3.75, 4.5, 0.5, -1.34637, -0.345224, 7.88078
3.75, 4.75, 0.5, -1.30563, -0.502165, 7.93148
3.75, 5, 0.5, -1.31148, -0.672551, 7.88826
3.75, 5.25, 0.5, -1.30338, -0.835498, 7.93431
3.75, 5.5, 0.5, -1.29861, -0.998932, 7.98047
3.75, 5.75, 0.5, -1.31506, -1.18018, 7.89127
3.75, 6, 0.5, -1.30178, -1.33516, 7.9833
3.75, 6.25, 0.5, -1.31099, -1.51268, 7.94058
3.75, 6.5, 0.5, -1.31236, -1.68251, 7.94271
3.75, 6.75, 0.5, -1.31397, -1.85303, 7.9456
3.75, 7, 0.5, -1.31559, -2.02399, 7.94755
3.75, 7.25, 0.5, -1.31741, -2.19569, 7.95082
3.75, 7.5, 0.5, -1.32521, -2.37857, 7.90766
3.75, 7.75, 0.5, -1.32749, -2.55287, 7.9111
3.75, 8, 0.5, -1.32877, -2.72569, 7.91501
4, 0, 0.5, -2.39475, 4.35409, 4.40749
4, 0.25, 0.5, -2.36097, 4.02438, 4.45117
4, 0.5, 0.5, -2.35599, 3.74817, 4.44967
4, 0.75, 0.5, -2.35113, 3.47326, 4.44675
4, 1, 0.5, -2.3474, 3.201, 4.44388
4, 1.25, 0.5, -2.34248, 2.9281, 4.44177
4, 1.5, 0.5, -2.35609, 2.67738, 4.39644
4, 1.75, 0.5, -2.33528, 2.38835, 4.43745
4, 2, 0.5, -2.32115, 2.11013, 4.43972
4, 2.25, 0.5, -1.4672, 1.16709, 7.99389
