X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 0, 0.5, 2.59132, 2.81316, 4.10039
0, 0.25, 0.5, 2.63822, 2.5789, 3.98955
0, 0.5, 0.5, 2.69512, 2.34318, 3.87359
0, 0.75, 0.5, 2.74959, 2.09333, 3.7589
0, 2.25, 0.5, 2.9622, 0.334016, 3.35195
0, 2.5, 0.5, 2.96352, 0.0138258, 3.35179
0, 2.75, 0.5, 2.96613, -0.306784, 3.35198
0, 3, 0.5, 2.9636, -0.626869, 3.35217
0, 3.25, 0.5, 2.93545, -0.93822, 3.40923
0, 3.5, 0.5, 2.86874, -1.22699, 3.50222
0, 3.75, 0.5, 2.83841, -1.52084, 3.58318
0, 4, 0.5, 2.80958, -1.80909, 3.64116
0, 4.25, 0.5, 2.77228, -2.08473, 3.70154
0, 4.5, 0.5, 2.69461, -2.31761, 3.8717
0, 4.75, 0.5, 2.64138, -2.55734, 3.9682
0, 5, 0.5, 2.59091, -2.78853, 4.09498
0, 5.25, 0.5, 2.54283, -3.01165, 4.20554
0, 5.5, 0.5, 2.49699, -3.22727, 4.33361
0, 5.75, 0.5, 2.45332, -3.43603, 4.44313
0, 6, 0.5, 2.30152, -3.4722, 4.83341
0, 6.25, 0.5, 2.37135, -3.83388, 4.67584
0, 6.5, 0.5, 2.21146, -3.81443, 5.11583
0, 6.75, 0.5, 2.27542, -4.1707, 4.93488
0, 7, 0.5, 2.24091, -4.34967, 5.07399
0, 7.25, 0.5, 2.20762, -4.52368, 5.18384
0, 7.5, 0.5, 2.17551, -4.69306, 5.28088
0, 7.75, 0.5, 2.12707, -4.81847, 5.4454
0, 8, 0.5, 2.11502, -5.0198, 5.53106
0.25, 0, 0.5, 2.3545, 2.86584, 3.9641
0.25, 0.25, 0.5, 2.40159, 2.6321, 3.86546
0.25, 0.5, 0.5, 2.47018, 2.4079, 3.70165
0.25, 0.75, 0.5, 2.50279, 2.13637, 3.64312
0.25, 2.25, 0.5, 2.73574, 0.345867, 3.17549
0.25, 2.5, 0.5, 2.733, 0.0142957, 3.17539
0.25, 2.75, 0.5, 2.73551, -0.317221, 3.17555
0.25, 3, 0.5, 2.73836, -0.649426, 3.17574
0.25, 3.25, 0.5, 2.708, -0.970421, 3.23081
0.25, 3.5, 0.5, 2.64409, -1.26797, 3.32641
0.25, 3.75, 0.5, 2.6152, -1.57106, 3.40991
0.25, 4, 0.5, 2.55737, -1.84626, 3.5171
0.25, 4.25, 0.5, 2.50235, -2.10981, 3.63625
0.25, 4.5, 0.5, 2.45035, -2.36294, 3.74454
0.25, 4.75, 0.5, 2.37522, -2.57835, 3.92387
0.25, 5, 0.5, 2.35423, -2.84088, 3.96828
0.25, 5.25, 0.5, 2.30975, -3.06714, 4.10009
0.25, 5.5, 0.5, 2.2673, -3.28555, 4.212
0.25, 5.75, 0.5, 2.22672, -3.49662, 4.33219
0.25, 6, 0.5, 2.16672, -3.66499, 4.50155
0.25, 6.25, 0.5, 2.11023, -3.82519, 4.64124
0.25, 6.5, 0.5, 2.09551, -4.05247, 4.72936
0.25, 6.75, 0.5, 1.95593, -4.01958, 5.17787
0.25, 7, 0.5, 2.02926, -4.41621, 4.96324
0.25, 7.25, 0.5, 1.98211, -4.55383, 5.11933
0.25, 7.5, 0.5, 1.95307, -4.72382, 5.23811
0.25, 7.75, 0.5, 1.90932, -4.8494, 5.40529
0.25, 8, 0.5, 1.88283, -5.01031, 5.49852
0.5, 0, 0.5, 2.08608, 2.88929, 3.92553
0.5, 0.25, 0.5, 2.15135, 2.68301, 3.75862
0.5, 0.5, 0.5, 2.22254, 2.46528, 3.58197
0.5, 0.75, 0.5, 2.24446, 2.18007, 3.50638
0.5, 1, 0.5, 2.32161, 1.93483, 3.3522
0.5, 2.25, 0.5, 2.51087, 0.361215, 2.93836
0.5, 2.5, 0.5, 2.50767, 0.014926, 2.93807
0.5, 2.75, 0.5, 2.4941, -0.329113, 2.99477
0.5, 3, 0.5, 2.48642, -0.670998, 2.9976
0.5, 3.25, 0.5, 2.46469, -1.00504, 3.056
0.5, 3.5, 0.5, 2.40318, -1.31137, 3.17528
0.5, 3.75, 0.5, 2.3773, -1.6251, 3.23067
0.5, 4, 0.5, 2.32101, -1.90671, 3.35205
0.5, 4.25, 0.5, 2.26521, -2.17326, 3.46891
0.5, 4.5, 0.5, 2.22214, -2.43839, 3.58307
0.5, 4.75, 0.5, 2.17056, -2.68113, 3.70165
0.5, 5, 0.5, 2.10861, -2.8954, 3.8581
0.5, 5.25, 0.5, 2.06633, -3.12231, 3.98966
0.5, 5.5, 0.5, 2.02906, -3.34581, 4.09616
0.5, 5.75, 0.5, 1.95192, -3.4878, 4.29667
0.5, 6, 0.5, 1.93719, -3.72863, 4.39034
0.5, 6.25, 0.5, 1.78378, -3.67936, 4.89576
0.5, 6.5, 0.5, 1.85477, -4.08157, 4.6694
0.5, 6.75, 0.5, 1.72997, -4.04552, 5.11602
0.5, 7, 0.5, 1.78031, -4.40876, 4.93998
0.5, 7.25, 0.5, 1.75343, -4.584, 5.0755
0.5, 7.5, 0.5, 1.72749, -4.75443, 5.18037
0.5, 7.75, 0.5, 1.6885, -4.87999, 5.36118
0.5, 8, 0.5, 1.67872, -5.08324, 5.41928
0.75, 0, 0.5, 1.8536, 2.978, 3.75939
0.75, 0.25, 0.5, 1.89197, 2.73698, 3.62856
0.75, 0.5, 0.5, 1.9325, 2.48647, 3.51148
0.75, 0.75, 0.5, 1.99878, 2.25201, 3.35193
0.75, 1, 0.5, 2.04609, 1.978, 3.22857
0.75, 1.25, 0.5, 2.09543, 1.69049, 3.10339
0.75, 2.25, 0.5, 2.25972, 0.377088, 2.75809
0.75, 2.5, 0.5, 2.25727, 0.0155848, 2.75797
0.75, 2.75, 0.5, 2.23064, -0.341433, 2.8153
0.75, 3, 0.5, 2.22067, -0.695146, 2.81816
0.75, 3.25, 0.5, 2.19991, -1.04057, 2.87816
0.75, 3.5, 0.5, 2.16291, -1.36907, 2.93802
0.75, 3.75, 0.5, 2.09506, -1.66126, 3.10772
0.75, 4, 0.5, 2.04587, -1.94954, 3.23207
0.75, 4.25, 0.5, 1.99878, -2.22441, 3.35196
0.75, 4.5, 0.5, 1.93216, -2.45935, 3.49597
0.75, 4.75, 0.5, 1.89181, -2.71062, 3.63391
0.75, 5, 0.5, 1.85335, -2.952, 3.75788
0.75, 5.25, 0.5, 1.79703, -3.14976, 3.92128
0.75, 5.5, 0.5, 1.74437, -3.3365, 4.06537
0.75, 5.75, 0.5, 1.73047, -3.58675, 4.15317
0.75, 6, 0.5, 1.68242, -3.75629, 4.32681
0.75, 6.25, 0.5, 1.63731, -3.9175, 4.49679
0.75, 6.5, 0.5, 1.59491, -4.07117, 4.65995
0.75, 6.75, 0.5, 1.58408, -4.29694, 4.72851
0.75, 7, 0.5, 1.50446, -4.32163, 5.06874
0.75, 7.25, 0.5, 1.52147, -4.6139, 5.01622
0.75, 7.5, 0.5, 1.49877, -4.78481, 5.12985
0.75, 7.75, 0.5, 1.46457, -4.9099, 5.29279
0.75, 8, 0.5, 1.44388, -5.07152, 5.38325
1, 0, 0.5, 1.5695, 3.00174, 3.67673
1, 0.25, 0.5, 1.6215, 2.79241, 3.52577
1, 0.5, 0.5, 1.65701, 2.53801, 3.40772
1, 0.75, 0.5, 1.71575, 2.30125, 3.2261
1, 1, 0.5, 1.7565, 2.02142, 3.10067
1, 1.25, 0.5, 1.81377, 1.74192, 2.93806
1, 1.5, 0.5, 1.86249, 1.43403, 2.8184
1, 2.25, 0.5, 1.96723, 0.390795, 2.57569
1, 2.5, 0.5, 1.97486, 0.0162316, 2.57505
1, 2.75, 0.5, 1.97518, -0.359906, 2.5721
1, 3, 0.5, 1.94465, -0.724667, 2.63673
1, 3.25, 0.5, 1.91427, -1.07789, 2.6975
1, 3.5, 0.5, 1.84576, -1.3908, 2.87579
1, 3.75, 0.5, 1.79961, -1.69874, 2.98217
1, 4, 0.5, 1.75622, -1.99222, 3.1081
1, 4.25, 0.5, 1.71535, -2.27251, 3.22281
1, 4.5, 0.5, 1.67684, -2.54083, 3.35007
1, 4.75, 0.5, 1.62102, -2.76494, 3.52565
1, 5, 0.5, 1.56942, -2.9758, 3.69771
1, 5.25, 0.5, 1.50477, -3.13976, 3.92775
1, 5.5, 0.5, 1.49207, -3.39741, 3.95394
1, 5.75, 0.5, 1.46437, -3.61321, 4.10123
