X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 0.75, 0.5, 4.25918, 1.0648, 3.88089
0, 1, 0.5, 4.29768, 0, 3.82236
0, 1.25, 0.5, 4.25918, -1.0648, 3.88089
0, 1.5, 0.5, 4.16635, -2.08317, 3.99768
0, 1.75, 0.5, 4.60064, -3.45048, 3.54375
0, 2, 0.5, 3.97244, -3.97244, 4.34976
0, 2.25, 0.5, 3.84636, -4.80795, 4.58392
0, 2.5, 0.5, 3.81387, -5.7208, 4.70716
0, 2.75, 0.5, 3.70423, -6.4824, 4.94381
0, 3, 0.5, 3.60614, -7.21229, 5.18177
0, 3.25, 0.5, 3.58198, -8.05945, 5.30946
0, 3.5, 0.5, 3.33079, -8.32698, 5.88711
0, 3.75, 0.5, 3.35876, -9.23659, 5.90545
0, 4, 0.5, 3.26661, -9.79982, 6.20684
0, 4.25, 0.5, 3.18308, -10.345, 6.51048
0.25, 0.25, 0.5, 2.33657, 2.33657, 7.7384
0.25, 0.5, 0.5, 3.82874, 2.55249, 7.37278
0.25, 0.75, 0.5, 3.82548, 1.27516, 4.04927
0.25, 1, 0.5, 3.8702, 0, 3.98929
0.25, 1.25, 0.5, 3.82548, -1.27516, 4.04927
0.25, 1.5, 0.5, 3.70017, -2.46678, 4.28055
0.25, 1.75, 0.5, 3.32658, -3.32658, 4.95092
0.25, 2, 0.5, 3.35696, -4.47595, 4.95139
0.25, 2.25, 0.5, 3.51798, -5.8633, 4.7635
0.25, 2.5, 0.5, 3.09726, -6.19452, 5.66165
0.25, 2.75, 0.5, 2.98942, -6.97532, 6.02893
0.25, 3, 0.5, 2.9308, -7.81547, 6.27494
0.25, 3.25, 0.5, 2.82571, -8.47713, 6.68907
0.25, 3.5, 0.5, 2.77708, -9.25695, 6.94448
0.25, 3.75, 0.5, 2.9131, -10.6814, 6.69255
0.25, 4, 0.5, 2.81473, -11.2589, 7.12012
0.5, 0, 0.5, 2.74035, 5.4807, 5.93447
0.5, 0.75, 0.5, 3.82999, 1.91499, 6.85779
0.5, 1, 0.5, 3.6113, 0, 3.92128
0.5, 1.25, 0.5, 3.47504, -1.73752, 4.15573
0.5, 1.5, 0.5, 3.2419, -3.2419, 4.62124
0.5, 1.75, 0.5, 2.99901, -4.49852, 5.19632
0.5, 2, 0.5, 2.74035, -5.4807, 5.93447
0.5, 2.25, 0.5, 2.48309, -6.20771, 6.85682
0.5, 2.5, 0.5, 2.9636, -8.8908, 5.66508
0.5, 2.75, 0.5, 2.69209, -9.42233, 6.5419
0.5, 3, 0.5, 2.70164, -10.8066, 6.69307
0.5, 3.25, 0.5, 2.59602, -11.6821, 7.19054
0.5, 3.5, 0.5, 2.51188, -12.5594, 7.6959
0.75, 0, 0.5, 2.09452, 8.37809, 8.06787
0.75, 0.25, 0.5, 2.18447, 6.5534, 7.32058
0.75, 0.5, 0.5, 3.15846, 6.31692, 4.42335
0.75, 0.75, 0.5, 2.46575, 2.46575, 5.8105
0.75, 1, 0.5, 3.40491, 0, 3.75866
0.75, 1.25, 0.5, 3.02733, -3.02733, 4.49111
0.75, 1.5, 0.5, 3.15846, -6.31692, 4.42335
0.75, 1.75, 0.5, 2.18447, -6.5534, 7.32058
0.75, 2, 0.5, 2.09452, -8.37809, 8.06787
0.75, 2.25, 0.5, 1.71977, -8.59885, 10.8905
0.75, 2.5, 0.5, 1.85179, -11.1107, 9.90488
1.25, 0, 0.5, 1.44151, -5.76603, 9.84708
1.25, 0.25, 0.5, 1.94383, -5.83148, 6.49457
1.25, 0.5, 0.5, 2.17581, -4.35162, 5.44877
1.25, 0.75, 0.5, 2.65869, -2.65869, 4.10362
1.25, 1, 0.5, 3.00685, -3.68233e-16, 3.41015
1.25, 1.25, 0.5, 1.55587, 1.55587, 8.1705
1.25, 1.5, 0.5, 2.17581, 4.35162, 5.44877
1.25, 1.75, 0.5, 1.94383, 5.83148, 6.49457
1.25, 2, 0.5, 1.44151, 5.76603, 9.84708
1.25, 2.25, 0.5, 1.68506, 8.42529, 8.36273
1.25, 2.5, 0.5, 1.26678, 7.60067, 12.7916
1.25, 2.75, 0.5, 1.53442, 10.7409, 10.2227
1.5, 0, 0.5, 2.08837, -4.17673, 4.95521
1.5, 0.25, 0.5, 2.2632, -3.3948, 4.39005
1.5, 0.5, 0.5, 2.46931, -2.46931, 3.87374
1.5, 1.5, 0.5, 1.75037, 1.75037, 6.04436
1.5, 2, 0.5, 2.08837, 4.17673, 4.95521
1.5, 2.25, 0.5, 1.84865, 4.62163, 5.86036
1.5, 2.5, 0.5, 1.83972, 5.51915, 5.98958
1.5, 2.75, 0.5, 1.75426, 6.1399, 6.4547
1.75, 0, 0.5, 2.15978, -2.87971, 3.93139
1.75, 0.25, 0.5, 2.27149, -2.27149, 3.6424
1.75, 0.5, 0.5, 2.4014, -1.60093, 3.34261
1.75, 0.75, 0.5, 2.50511, -0.835037, 3.11599
1.75, 1, 0.5, 2.4837, -3.04165e-16, 3.15987
1.75, 1.25, 0.5, 2.50511, 0.835037, 3.11599
1.75, 2.5, 0.5, 1.91574, 3.83148, 4.67191
1.75, 2.75, 0.5, 1.80884, 4.22063, 5.0619
2, 0, 0.5, 2.05456, -2.05456, 3.40744
2, 0.25, 0.5, -0.843916, 0.632937, 5.97659
2, 0.5, 0.5, 2.2046, -1.1023, 3.04429
2, 0.75, 0.5, 1.99426, -0.498564, 3.50552
2, 1, 0.5, 1.84317, -2.25724e-16, 3.91532
2, 1.25, 0.5, 1.99426, 0.498564, 3.50552
2.25, 0, 0.5, -0.937905, 0.750324, 6.81102
2.25, 0.25, 0.5, -0.972106, 0.583264, 6.42431
2.25, 0.5, 0.5, -0.998135, 0.399254, 6.09488
2.25, 0.75, 0.5, -1.0432, 0.20864, 6.03325
2.25, 1, 0.5, -1.04529, 1.28011e-16, 5.92624
2.25, 1.25, 0.5, -1.0432, -0.20864, 6.03325
2.25, 1.5, 0.5, -0.998135, -0.399254, 6.09488
2.5, 0, 0.5, -1.05804, 0.705361, 7.20854
2.5, 0.25, 0.5, -1.08533, 0.542666, 6.87471
2.5, 0.5, 0.5, -1.11352, 0.371172, 6.65041
2.5, 0.75, 0.5, -1.14673, 0.191122, 6.59073
2.5, 1, 0.5, -1.16219, 1.42328e-16, 6.58804
2.5, 1.25, 0.5, -1.14673, -0.191122, 6.59073
2.5, 1.5, 0.5, -1.11352, -0.371172, 6.65041
2.5, 2.5, 0.5, -1.04307, -1.04307, 8.36082
2.75, 0, 0.5, -1.17228, 0.669875, 7.65685
2.75, 0.25, 0.5, -1.20468, 0.516293, 7.43212
2.75, 0.5, 0.5, -1.23146, 0.351847, 7.26102
2.75, 0.75, 0.5, -1.24912, 0.178445, 7.1489
2.75, 1, 0.5, -1.25134, 1.53245e-16, 7.09448
2.75, 1.25, 0.5, -1.24912, -0.178445, 7.1489
2.75, 1.5, 0.5, -1.23146, -0.351847, 7.26102
2.75, 1.75, 0.5, -1.20468, -0.516293, 7.43212
2.75, 2.75, 0.5, -1.11998, -1.11998, 8.97915
2.75, 3, 0.5, -1.08296, -1.23767, 9.32318
2.75, 3.25, 0.5, -1.05366, -1.35471, 9.72669
2.75, 3.5, 0.5, -1.01411, -1.44873, 10.0224
2.75, 3.75, 0.5, -0.988746, -1.55374, 10.4376
2.75, 4.5, 0.5, -1.43586, -2.87172, 6.17382
2.75, 4.75, 0.5, -1.27137, -2.72436, 7.23074
3, 0, 0.5, -1.28553, 0.642766, 8.11016
3, 0.25, 0.5, -1.31208, 0.49203, 7.94011
3, 0.5, 0.5, -1.33888, 0.33472, 7.82109
3, 0.75, 0.5, -1.35045, 0.168806, 7.71009
3, 1, 0.5, -1.3411, 1.64238e-16, 7.60216
3, 1.25, 0.5, -1.35045, -0.168806, 7.71009
3, 1.5, 0.5, -1.33888, -0.33472, 7.82109
3, 1.75, 0.5, -1.31208, -0.49203, 7.94011
3, 2.75, 0.5, -1.23734, -1.08268, 9.32074
3, 3, 0.5, -1.19885, -1.19885, 9.60881
3, 3.25, 0.5, -1.16735, -1.31327, 9.96108
3, 3.5, 0.5, -1.13739, -1.42174, 10.3189
3, 3.75, 0.5, -1.10784, -1.52328, 10.6749
3, 4, 0.5, -1.07441, -1.61161, 10.9803
3, 4.25, 0.5, -1.04358, -1.69582, 11.288
3, 4.5, 0.5, -1.03084, -1.80398, 11.7786
3, 4.75, 0.5, -1.20628, -2.26178, 9.16171
3, 5, 0.5, -1.28753, -2.57506, 8.4237
3, 5.25, 0.5, -1.55648, -3.30753, 6.68306
3, 5.5, 0.5, -1.49138, -3.35561, 7.07541
3, 5.75, 0.5, -1.51324, -3.59395, 6.96794
3, 6, 0.5, -1.52602, -3.81506, 6.91632
3, 6.25, 0.5, -1.50022, -3.93808, 7.08844
3, 6.5, 0.5, -1.27449, -3.50486, 8.78217
3, 6.75, 0.5, -1.25322, -3.60301, 9.01464
3, 7, 0.5, -1.22144, -3.66432, 9.36559
3, 7.25, 0.5, -1.43403, -4.48135, 7.60817
3.25, 0, 0.5, -1.60444, 0.713085, 7.10436
3.25, 0.25, 0.5, -1.45102, 0.483672, 8.16485
3.25, 0.5, 0.5, -1.47924, 0.328719, 7.93995
3.25, 0.75, 0.5, -1.56601, 0.174001, 7.32385
3.25, 1, 0.5, -1.57494, 1.92875e-16, 7.26829
3.25, 1.25, 0.5, -1.56601, -0.174001, 7.32385
3.25, 1.5, 0.5, -1.47924, -0.328719, 7.93995
3.25, 1.75, 0.5, -1.45102, -0.483672, 8.16485
3.25, 2, 0.5, -1.60444, -0.713085, 7.10436
3.25, 3, 0.5, -1.30555, -1.16049, 9.90253
3.25, 3.25, 0.5, -1.27945, -1.27945, 10.2577
3.25, 3.5, 0.5, -1.24558, -1.38398, 10.5555
3.25, 3.75, 0.5, -1.20669, -1.47485, 10.8027
3.25, 4, 0.5, -1.1941, -1.59214, 11.2837
3.25, 4.25, 0.5, -1.15906, -1.6742, 11.5369
3.25, 4.5, 0.5, -1.14687, -1.78401, 12.0232
3.25, 4.75, 0.5, -1.12542, -1.87569, 12.4006
3.25, 5, 0.5, -1.11067, -1.97452, 12.843
3.25, 5.25, 0.5, -1.39294, -2.63111, 8.94063
3.25, 5.5, 0.5, -1.41041, -2.82082, 8.83031
3.25, 5.75, 0.5, -1.39943, -2.95435, 8.94885
3.25, 6, 0.5, -1.38813, -3.08473, 9.06738
3.25, 6.25, 0.5, -1.39977, -3.26613, 9.0142
3.25, 6.5, 0.5, -1.35774, -3.31891, 9.42163
3.25, 6.75, 0.5, -1.35479, -3.46225, 9.48387
3.25, 7, 0.5, -1.42229, -3.79277, 8.9131
3.25, 7.25, 0.5, -1.392, -3.86666, 9.20463
3.25, 7.5, 0.5, -1.44379, -4.17094, 8.80744
3.25, 7.75, 0.5, -1.31521, -3.94562, 10.0275
3.25, 8, 0.5, -1.29639, -4.03321, 10.2676
3.5, 0, 0.5, -1.55139, 0.620558, 8.73373
3.5, 0.25, 0.5, -1.57311, 0.471934, 8.56307
3.5, 0.5, 0.5, -1.58793, 0.317585, 8.44926
3.5, 0.75, 0.5, -1.8438, 0.18438, 6.88173
3.5, 1, 0.5, -1.82164, 2.23087e-16, 6.99165
3.5, 1.25, 0.5, -1.8438, -0.18438, 6.88173
3.5, 1.5, 0.5, -1.58793, -0.317585, 8.44926
3.5, 1.75, 0.5, -1.57311, -0.471934, 8.56307
3.5, 2, 0.5, -1.55139, -0.620558, 8.73373
3.5, 3.25, 0.5, -1.38434, -1.24591, 10.5554
3.5, 3.5, 0.5, -1.34746, -1.34746, 10.8008
3.5, 3.75, 0.5, -1.31732, -1.44905, 11.104
3.5, 4, 0.5, -1.28936, -1.54723, 11.411
3.5, 4.25, 0.5, -1.26708, -1.64721, 11.7792
3.5, 4.5, 0.5, -1.24623, -1.74473, 12.1529
3.5, 4.75, 0.5, -1.22323, -1.83484, 12.4709
3.5, 5, 0.5, -1.20752, -1.93204, 12.9138
