X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
2.5, 1.75, 0.5, -0.640127, 0.68585, 5.31966
2.5, 2, 0.5, -0.699728, 0.499806, 4.87481
2.5, 2.25, 0.5, -0.75512, 0.269686, 4.54563
2.5, 2.5, 0.5, -0.782393, 9.58155e-17, 4.43543
2.75, 0, 0.5, -0.594283, 1.5639, 8.61982
2.75, 0.25, 0.5, -0.613645, 1.45337, 8.22226
2.75, 0.5, 0.5, -0.685153, 1.44243, 7.044
2.75, 0.75, 0.5, -0.70823, 1.30463, 6.70882
2.75, 1, 0.5, -0.712466, 1.12495, 6.65239
2.75, 1.25, 0.5, -0.746024, 0.98161, 6.20701
2.75, 1.5, 0.5, -0.754084, 0.793773, 6.20317
2.75, 1.75, 0.5, -0.79744, 0.629558, 5.75975
2.75, 2, 0.5, -0.847347, 0.445972, 5.42836
2.75, 2.25, 0.5, -0.887408, 0.233528, 5.20204
2.75, 2.5, 0.5, -0.898669, 1.10055e-16, 5.0957
2.75, 7.25, 0.5, -0.618783, -3.09392, 8.36969
2.75, 7.5, 0.5, -0.617351, -3.24922, 8.43321
2.75, 7.75, 0.5, -0.612593, -3.38538, 8.54953
2.75, 8, 0.5, -0.619699, -3.58773, 8.44114
3, 0, 0.5, -0.954968, 1.98952, 6.37034
3, 0.25, 0.5, -1.03529, 1.94116, 5.70933
3, 0.5, 0.5, -1.0709, 1.78483, 5.43418
3, 0.75, 0.5, -1.0549, 1.53839, 5.54459
3, 1, 0.5, -1.06844, 1.33554, 5.43093
3, 1.25, 0.5, -1.09795, 1.1437, 5.21121
3, 1.5, 0.5, -1.11241, 0.927012, 5.09922
3, 1.75, 0.5, -1.08718, 0.679489, 5.2628
3, 2, 0.5, -1.1196, 0.466501, 5.04497
3, 2.25, 0.5, -1.10085, 0.229343, 5.15036
3, 2.5, 0.5, -1.10945, 1.35869e-16, 5.09743
3, 5.5, 0.5, -0.693414, -1.73354, 10.5887
3, 5.75, 0.5, -0.65528, -1.77472, 10.7291
3, 6, 0.5, -0.661433, -1.92918, 10.4956
3, 6.25, 0.5, -0.647014, -2.02192, 10.9176
3, 6.5, 0.5, -0.633322, -2.11107, 11.3387
3, 6.75, 0.5, -0.62169, -2.20182, 11.7744
3, 7, 0.5, -0.629275, -2.35978, 11.5311
3, 7.25, 0.5, -0.621225, -2.45902, 11.8409
3, 7.5, 0.5, -0.628997, -2.62082, 11.5985
3, 7.75, 0.5, -0.563591, -2.46571, 14.2801
3, 8, 0.5, -0.55687, -2.55232, 14.6869
3.25, 0, 0.5, -1.48865, 2.56664, 4.60738
3.25, 0.25, 0.5, -1.48628, 2.3063, 4.60484
3.25, 0.5, 0.5, -1.4834, 2.04607, 4.60391
3.25, 0.75, 0.5, -1.48087, 1.78725, 4.60164
3.25, 1, 0.5, -1.46606, 1.51661, 4.65108
3.25, 1.25, 0.5, -1.46493, 1.26287, 4.64987
3.25, 1.5, 0.5, -1.47504, 1.01727, 4.59755
3.25, 1.75, 0.5, -1.46123, 0.755811, 4.64822
3.25, 2, 0.5, -1.4816, 0.510896, 4.54061
3.25, 2.25, 0.5, -1.46781, 0.253071, 4.59113
3.25, 2.5, 0.5, -1.48088, 1.81355e-16, 4.54005
3.25, 2.75, 0.5, -1.46781, -0.253071, 4.59113
3.25, 3.75, 0.5, -1.15377, -0.994629, 8.63912
3.25, 4, 0.5, -0.993903, -1.02818, 8.11011
3.25, 4.25, 0.5, -0.938062, -1.13214, 8.33834
3.25, 4.5, 0.5, -0.921991, -1.27171, 8.45057
3.25, 4.75, 0.5, -0.88624, -1.3752, 9.12683
3.25, 5, 0.5, -0.873754, -1.50647, 9.35959
3.25, 5.25, 0.5, -0.887285, -1.68278, 9.131
3.25, 5.5, 0.5, -0.882782, -1.82644, 9.24832
3.25, 5.75, 0.5, -0.928939, -2.08211, 8.46745
3.25, 6, 0.5, -0.923674, -2.22956, 8.57906
3.25, 6.25, 0.5, -0.929193, -2.40308, 8.53054
3.25, 6.5, 0.5, -0.930026, -2.56559, 8.53415
3.25, 6.75, 0.5, -0.927708, -2.71915, 8.5886
3.25, 7, 0.5, -0.929181, -2.88367, 8.59217
3.25, 7.25, 0.5, -0.928322, -3.04106, 8.65382
3.25, 7.5, 0.5, -0.929767, -3.20609, 8.65732
3.25, 7.75, 0.5, -0.93518, -3.38599, 8.61025
3.25, 8, 0.5, -0.937294, -3.55525, 8.61431
3.5, 0, 0.5, -1.81494, 2.66903, 4.38093
3.5, 0.25, 0.5, -1.81155, 2.39763, 4.37852
3.5, 0.5, 0.5, -1.8085, 2.12765, 4.37667
3.5, 0.75, 0.5, -1.80591, 1.85903, 4.37535
3.5, 1, 0.5, -1.80344, 1.59127, 4.3739
3.5, 1.25, 0.5, -1.80121, 1.32442, 4.37257
3.5, 1.5, 0.5, -1.79849, 1.05794, 4.37135
3.5, 1.75, 0.5, -1.79703, 0.792809, 4.37099
3.5, 2, 0.5, -1.81114, 0.53269, 4.32248
3.5, 2.25, 0.5, -1.8103, 0.266221, 4.32206
3.5, 2.5, 0.5, -1.78067, 2.1807e-16, 4.41708
3.5, 2.75, 0.5, -1.8103, -0.266221, 4.32206
3.5, 3.75, 0.5, -1.14284, -0.840327, 8.04491
3.5, 4, 0.5, -1.12636, -0.99385, 8.04932
3.5, 4.25, 0.5, -1.11969, -1.15262, 8.1518
3.5, 4.5, 0.5, -1.12224, -1.32029, 8.10095
3.5, 4.75, 0.5, -1.12853, -1.49364, 8.05515
3.5, 5, 0.5, -1.13053, -1.66254, 8.05684
3.5, 5.25, 0.5, -1.13107, -1.82967, 8.05905
3.5, 5.5, 0.5, -1.13333, -2, 8.06164
3.5, 5.75, 0.5, -1.13418, -2.16828, 8.06466
3.5, 6, 0.5, -1.13571, -2.33822, 8.0671
3.5, 6.25, 0.5, -1.13789, -2.51006, 8.0702
3.5, 6.5, 0.5, -1.13905, -2.68011, 8.07397
3.5, 6.75, 0.5, -1.14078, -2.85196, 8.07687
3.5, 7, 0.5, -1.14262, -3.02458, 8.08053
3.5, 7.25, 0.5, -1.14243, -3.19209, 8.13571
3.5, 7.5, 0.5, -1.14448, -3.36613, 8.14018
3.5, 7.75, 0.5, -1.14596, -3.539, 8.14441
3.5, 8, 0.5, -1.14804, -3.71425, 8.14864
3.75, 0, 0.5, -2.08785, 2.67673, 4.37928
3.75, 0.25, 0.5, -2.10116, 2.42441, 4.3324
3.75, 0.5, 0.5, -2.08066, 2.13401, 4.3764
3.75, 0.75, 0.5, -2.09427, 1.87947, 4.3293
3.75, 1, 0.5, -2.09146, 1.60882, 4.32775
3.75, 1.25, 0.5, -2.08894, 1.33907, 4.32648
3.75, 1.5, 0.5, -2.07093, 1.06201, 4.37043
3.75, 1.75, 0.5, -2.06865, 0.795636, 4.36995
3.75, 2, 0.5, -2.06796, 0.530246, 4.36839
3.75, 2.25, 0.5, -2.05885, 0.263955, 4.36923
3.75, 2.5, 0.5, -2.08363, 2.55171e-16, 4.32302
3.75, 2.75, 0.5, -2.05885, -0.263955, 4.36923
3.75, 4, 0.5, -1.29861, -0.998932, 7.98047
3.75, 4.25, 0.5, -1.31506, -1.18018, 7.89127
3.75, 4.5, 0.5, -1.30178, -1.33516, 7.9833
3.75, 4.75, 0.5, -1.31099, -1.51268, 7.94058
3.75, 5, 0.5, -1.31236, -1.68251, 7.94271
3.75, 5.25, 0.5, -1.31397, -1.85303, 7.9456
3.75, 5.5, 0.5, -1.31559, -2.02399, 7.94755
3.75, 5.75, 0.5, -1.31741, -2.19569, 7.95082
3.75, 6, 0.5, -1.32521, -2.37857, 7.90766
3.75, 6.25, 0.5, -1.32749, -2.55287, 7.9111
3.75, 6.5, 0.5, -1.32877, -2.72569, 7.91501
3.75, 6.75, 0.5, -1.32509, -2.88802, 7.96377
3.75, 7, 0.5, -1.32779, -3.06412, 7.96685
3.75, 7.25, 0.5, -1.32411, -3.2254, 8.01621
3.75, 7.5, 0.5, -1.33157, -3.41429, 7.97475
3.75, 7.75, 0.5, -1.33396, -3.59143, 7.97948
3.75, 8, 0.5, -1.3305, -3.75269, 8.02925
4, 0, 0.5, -2.35609, 2.67738, 4.39644
4, 0.25, 0.5, -2.33528, 2.38835, 4.43745
4, 0.5, 0.5, -2.32115, 2.11013, 4.43972
4, 0.75, 0.5, -2.31764, 1.84358, 4.43762
4, 1, 0.5, -2.29793, 1.56677, 4.47972
4, 1.25, 0.5, -2.29585, 1.30446, 4.47755
4, 1.5, 0.5, -2.28327, 1.03785, 4.48057
4, 1.75, 0.5, -2.30905, 0.787177, 4.43243
4, 2, 0.5, -2.30825, 0.524601, 4.43227
4, 2.25, 0.5, -2.30642, 0.262093, 4.43188
4, 2.5, 0.5, -2.33464, 2.85911e-16, 4.38481
4, 2.75, 0.5, -2.30642, -0.262093, 4.43188
4, 4, 0.5, -2.29793, -1.56677, 4.47972
4, 4.25, 0.5, -1.4672, -1.16709, 7.99389
4, 4.5, 0.5, -1.46852, -1.33502, 7.99561
4, 4.75, 0.5, -1.48363, -1.51735, 7.9496
