X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 0, 0.5, 3.51064, 3.07254, 8.26454
0, 0.25, 0.5, 3.43356, 2.81888, 8.40176
0, 0.5, 0.5, 3.40356, 2.60968, 8.44496
0, 0.75, 0.5, 3.37557, 2.40516, 8.48846
0, 1, 0.5, 3.93469, 2.59017, 7.46179
0, 1.25, 0.5, 3.89562, 2.3532, 7.50191
0, 1.5, 0.5, 3.80106, 2.08995, 7.6309
0, 1.75, 0.5, 3.92346, 1.94449, 7.43458
0, 2, 0.5, 3.94635, 1.74183, 7.38855
0, 2.25, 0.5, 3.88022, 1.50222, 7.47175
0, 2.5, 0.5, 3.87288, 1.28936, 7.47026
0, 2.75, 0.5, 3.83834, 1.06971, 7.51223
0, 3, 0.5, 3.7779, 0.847993, 7.59904
0, 3.25, 0.5, 3.80329, 0.647445, 7.55325
0, 3.5, 0.5, 3.77249, 0.437624, 7.59669
0, 3.75, 0.5, 3.76943, 0.232857, 7.5962
0, 4, 0.5, 3.74101, 0.0282315, 7.64047
0, 4.25, 0.5, 3.77048, -0.176015, 7.5955
0, 4.5, 0.5, 3.71687, -0.375073, 7.68497
0, 4.75, 0.5, 3.80235, -0.589895, 7.55304
0, 5, 0.5, 3.74995, -0.785123, 7.64264
0, 5.25, 0.5, 3.80998, -1.0043, 7.55548
0, 5.5, 0.5, 3.84223, -1.22116, 7.51341
0, 5.75, 0.5, 3.84812, -1.43171, 7.51548
0, 6, 0.5, 3.85448, -1.6431, 7.51794
0, 6.25, 0.5, 3.92104, -1.88411, 7.43339
0, 6.5, 0.5, 3.8698, -2.06934, 7.52377
0, 6.75, 0.5, 3.86404, -2.27581, 7.54464
0, 7, 0.5, 3.76095, -2.41904, 7.72468
0, 7.25, 0.5, 3.30991, -2.30842, 8.63128
0, 7.5, 0.5, 3.33797, -2.50901, 8.58697
0, 7.75, 0.5, 3.45332, -2.78298, 8.35404
0, 8, 0.5, 3.48543, -2.99787, 8.31009
0.25, 0, 0.5, 3.26807, 3.02424, 8.35331
0.25, 0.25, 0.5, 3.1575, 2.74087, 8.58765
0.25, 0.5, 0.5, 3.1313, 2.53859, 8.63034
0.25, 0.75, 0.5, 3.50492, 2.64052, 7.81431
0.25, 1, 0.5, 3.65187, 2.54184, 7.54369
0.25, 1.25, 0.5, 3.60198, 2.30058, 7.61005
0.25, 1.5, 0.5, 3.67549, 2.13678, 7.47493
0.25, 1.75, 0.5, 3.66828, 1.92226, 7.47125
0.25, 2, 0.5, 3.6335, 1.6957, 7.51259
0.25, 2.25, 0.5, 3.54518, 1.4512, 7.64288
0.25, 2.5, 0.5, 3.51338, 1.23674, 7.68527
0.25, 2.75, 0.5, 3.56117, 1.04937, 7.59448
0.25, 3, 0.5, 3.53042, 0.837881, 7.63687
0.25, 3.25, 0.5, 3.52681, 0.634803, 7.6357
0.25, 3.5, 0.5, 3.47262, 0.425936, 7.72525
0.25, 3.75, 0.5, 3.44609, 0.225089, 7.7698
0.25, 4, 0.5, 3.4467, 0.0275018, 7.76906
0.25, 4.25, 0.5, 3.44705, -0.170143, 7.76853
0.25, 4.5, 0.5, 3.44865, -0.367961, 7.76948
0.25, 4.75, 0.5, 3.42667, -0.562095, 7.81547
0.25, 5, 0.5, 3.50372, -0.77563, 7.68108
0.25, 5.25, 0.5, 3.48186, -0.970434, 7.72834
0.25, 5.5, 0.5, 3.53781, -1.18888, 7.64068
0.25, 5.75, 0.5, 3.6235, -1.42544, 7.5102
0.25, 6, 0.5, 3.63132, -1.63673, 7.51193
0.25, 6.25, 0.5, 3.58357, -1.82069, 7.60294
0.25, 6.5, 0.5, 3.64663, -2.06181, 7.51771
0.25, 6.75, 0.5, 3.62759, -2.25904, 7.56436
0.25, 7, 0.5, 3.56917, -2.42731, 7.67529
0.25, 7.25, 0.5, 3.57838, -2.63875, 7.67899
0.25, 7.5, 0.5, 3.51129, -2.79061, 7.81685
0.25, 7.75, 0.5, 3.17586, -2.70613, 8.53788
0.25, 8, 0.5, 3.20304, -2.91294, 8.49528
0.5, 0, 0.5, 2.97559, 2.92107, 8.58683
0.5, 0.25, 0.5, 3.24217, 2.98555, 7.9538
0.5, 0.5, 0.5, 3.37432, 2.902, 7.67881
0.5, 0.75, 0.5, 3.38961, 2.70897, 7.62978
0.5, 1, 0.5, 3.57971, 2.64317, 7.30364
0.5, 1.25, 0.5, 3.38267, 2.29192, 7.60508
0.5, 1.5, 0.5, 3.37546, 2.08172, 7.60117
0.5, 1.75, 0.5, 3.3427, 1.85819, 7.64242
0.5, 2, 0.5, 3.33377, 1.65045, 7.63991
0.5, 2.25, 0.5, 3.32796, 1.44515, 7.63684
0.5, 2.5, 0.5, 3.2508, 1.21391, 7.76906
0.5, 2.75, 0.5, 3.22278, 1.00742, 7.813
0.5, 3, 0.5, 3.21684, 0.809897, 7.81153
0.5, 3.25, 0.5, 3.55503, 0.678803, 7.22141
0.5, 3.5, 0.5, 3.5533, 0.462341, 7.21981
0.5, 3.75, 0.5, 3.57892, 0.247984, 7.17792
0.5, 4, 0.5, 3.5225, 0.0298162, 7.26167
0.5, 4.25, 0.5, 3.57993, -0.18745, 7.17723
0.5, 4.5, 0.5, 3.58009, -0.40522, 7.17772
0.5, 4.75, 0.5, 3.5556, -0.61872, 7.22093
0.5, 5, 0.5, 3.21573, -0.755178, 7.81116
0.5, 5.25, 0.5, 3.19848, -0.945677, 7.8576
0.5, 5.5, 0.5, 3.24931, -1.15835, 7.76854
0.5, 5.75, 0.5, 3.301, -1.37756, 7.68129
0.5, 6, 0.5, 3.38147, -1.61682, 7.55058
0.5, 6.25, 0.5, 3.38999, -1.82709, 7.55264
0.5, 6.5, 0.5, 3.42385, -2.0536, 7.51214
0.5, 6.75, 0.5, 3.45737, -2.28401, 7.47249
0.5, 7, 0.5, 3.44135, -2.48275, 7.51909
0.5, 7.25, 0.5, 3.45048, -2.69921, 7.5231
0.5, 7.5, 0.5, 3.44762, -2.90667, 7.54502
0.5, 7.75, 0.5, 3.37999, -3.05524, 7.68236
0.5, 8, 0.5, 2.99177, -2.88631, 8.53772
0.75, 0, 0.5, 3.04358, 3.18132, 7.95397
