X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 1.5, 0.5, 1.80884, 3.17418, 5.85359
0.25, 1.5, 0.5, 1.65101, 3.24834, 5.69515
0.75, 1.25, 0.5, 1.25796, 3.46812, 5.65099
0.75, 2.75, 0.5, 1.21832, 2.18947, 5.86073
1.25, 2.5, 0.5, 0.818167, 2.35453, 5.88388
1.25, 4.5, 0.5, 0.811848, 0.808593, 5.92469
1.25, 5, 0.5, 1.11414, 0.58552, 4.10443
1.25, 5.25, 0.5, 1.12313, 0.32605, 4.05181
1.25, 5.5, 0.5, 1.13505, 0.0625153, 3.99697
1.25, 5.75, 0.5, 1.12608, -0.202864, 4.00307
1.25, 6.25, 0.5, 2.66925, -1.73663, 7.45749
1.5, 1, 0.5, 0.648205, 3.63543, 5.64842
1.5, 5.25, 0.5, 0.86842, 0.329651, 3.94196
1.5, 5.5, 0.5, 0.868428, 0.0625425, 3.94215
1.5, 5.75, 0.5, 2.77379, -0.653399, 6.68957
1.5, 6.25, 0.5, 0.863136, -0.734289, 3.99713
1.75, 1, 0.5, 0.43784, 3.54641, 5.72531
2, 5.75, 0.5, 2.35881, -1.44384, 6.85916
2.5, 0.25, 0.5, -0.154739, 4.38796, 8.40772
2.5, 0.5, 0.5, -0.152405, 4.11824, 8.47354
2.5, 0.75, 0.5, -0.147959, 3.80051, 8.61234
2.5, 1, 0.5, -0.144786, 3.52564, 8.73362
2.5, 1.25, 0.5, -0.139794, 3.2174, 8.90331
2.5, 1.5, 0.5, -0.140766, 3.05178, 8.87244
2.5, 1.75, 0.5, -0.136044, 2.76774, 9.06378
2.5, 2, 0.5, -0.186008, 3.53582, 7.71976
2.5, 2.25, 0.5, -0.176275, 3.11539, 7.89143
2.5, 2.5, 0.5, -0.174742, 2.85495, 7.92411
2.5, 2.75, 0.5, -0.171831, 2.57791, 7.98206
2.5, 3, 0.5, -0.167527, 2.28962, 8.07505
2.5, 3.25, 0.5, -0.163482, 2.01602, 8.17135
2.5, 3.5, 0.5, -0.159608, 1.75509, 8.29113
2.5, 3.75, 0.5, -0.163532, 1.57985, 8.17105
2.5, 4, 0.5, -0.23308, 1.94048, 7.23506
2.5, 4.25, 0.5, -0.220359, 1.54029, 7.32028
2.5, 4.5, 0.5, -0.224221, 1.26786, 7.30194
2.5, 4.75, 0.5, -0.321049, 1.38662, 7.77554
2.5, 5, 0.5, -0.491029, 1.46503, 8.76285
2.5, 6, 0.5, -0.674684, -1.59105, 9.80104
2.5, 6.25, 0.5, -0.370347, -1.36794, 8.03725
2.5, 6.5, 0.5, -0.326504, -1.64203, 7.79855
2.5, 6.75, 0.5, -0.220323, -1.40226, 7.321
2.5, 7, 0.5, -0.225285, -1.73469, 7.28445
2.5, 7.25, 0.5, -0.160405, -1.44933, 8.26975
2.5, 7.5, 0.5, -0.16482, -1.70934, 8.13895
2.5, 7.75, 0.5, -0.16088, -1.88332, 8.23693
2.5, 8, 0.5, -0.16615, -2.16689, 8.1107
2.75, 0, 0.5, -0.348241, 4.42749, 8.37527
2.75, 0.25, 0.5, -0.332926, 4.04241, 8.57701
2.75, 0.5, 0.5, -0.330446, 3.82333, 8.61936
2.75, 0.75, 0.5, -0.318803, 3.50632, 8.79346
2.75, 1, 0.5, -0.32108, 3.34777, 8.76125
2.75, 1.25, 0.5, -0.31007, 3.05567, 8.9382
2.75, 1.5, 0.5, -0.310165, 2.87925, 8.93828
2.75, 1.75, 0.5, -0.435296, 3.79192, 7.58826
2.75, 2, 0.5, -0.404211, 3.29001, 7.80905
2.75, 2.25, 0.5, -0.386927, 2.92807, 7.95973
2.75, 2.5, 0.5, -0.386948, 2.70697, 7.95374
2.75, 2.75, 0.5, -0.377254, 2.42343, 8.04637
2.75, 3, 0.5, -0.36805, 2.15385, 8.15479
2.75, 3.25, 0.5, -0.374133, 1.97551, 8.07639
2.75, 3.5, 0.5, -0.362278, 1.70576, 8.20396
2.75, 3.75, 0.5, -0.371066, 1.53495, 8.12411
2.75, 4, 0.5, -0.514461, 1.83395, 7.25133
2.75, 4.25, 0.5, -0.492216, 1.47319, 7.32021
2.75, 4.5, 0.5, -0.492748, 1.19302, 7.32033
2.75, 4.75, 0.5, -0.597271, 1.10455, 7.12141
2.75, 5, 0.5, -0.961185, 1.22793, 8.51993
2.75, 5.75, 0.5, -1.81076, -0.792985, 11.2109
2.75, 6, 0.5, -1.08756, -1.09816, 8.76525
2.75, 6.25, 0.5, -0.837659, -1.32481, 8.0847
2.75, 6.5, 0.5, -0.535186, -1.15246, 7.20629
2.75, 6.75, 0.5, -0.48684, -1.32673, 7.3395
2.75, 7, 0.5, -0.520349, -1.7156, 7.23653
2.75, 7.25, 0.5, -0.362163, -1.40115, 8.20745
2.75, 7.5, 0.5, -0.353686, -1.5706, 8.30334
2.75, 7.75, 0.5, -0.368054, -1.84486, 8.14842
2.75, 8, 0.5, -0.359375, -2.00685, 8.23656
3, 0, 0.5, -0.540548, 4.3723, 8.37414
3, 0.25, 0.5, -0.528345, 4.08139, 8.4808
3, 0.5, 0.5, -0.512931, 3.77571, 8.61991
3, 0.75, 0.5, -0.49837, 3.48722, 8.75657
3, 1, 0.5, -0.498371, 3.30593, 8.76174
3, 1.25, 0.5, -0.481306, 3.01763, 8.93827
3, 1.5, 0.5, -0.481554, 2.844, 8.93814
3, 1.75, 0.5, -0.669262, 3.70911, 7.61346
3, 2, 0.5, -0.627493, 3.24934, 7.8041
