X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
2.75, 0, 0.5, -0.562593, 3.25712, 7.97555
2.75, 0.25, 0.5, -0.568737, 3.14302, 7.87331
2.75, 0.5, 0.5, -0.561849, 2.9571, 7.97537
2.75, 0.75, 0.5, -0.565193, 2.82596, 7.92481
2.75, 1, 0.5, -0.567909, 2.6901, 7.87217
2.75, 1.25, 0.5, -0.596331, 2.6678, 7.46731
2.75, 1.5, 0.5, -0.592915, 2.49649, 7.5181
2.75, 1.75, 0.5, -0.599615, 2.3669, 7.41433
2.75, 2, 0.5, -0.592201, 2.18179, 7.51624
2.75, 2.25, 0.5, -0.599651, 2.05144, 7.41436
2.75, 2.5, 0.5, -0.613884, 1.93858, 7.20956
2.75, 2.75, 0.5, -0.655305, 1.89694, 6.69895
2.75, 3, 0.5, -0.551246, 1.45065, 8.12291
2.75, 3.25, 0.5, -0.577232, 1.36713, 7.71567
3, 0, 0.5, -0.967333, 4.43361, 5.70288
3, 0.25, 0.5, -0.967443, 4.23256, 5.70318
3, 0.5, 0.5, -0.975091, 4.06288, 5.65222
3, 0.75, 0.5, -0.975074, 3.85967, 5.65239
3, 1, 0.5, -0.890879, 3.3408, 6.26844
3, 1.25, 0.5, -0.92457, 3.27452, 6.01436
3, 1.5, 0.5, -0.953269, 3.17756, 5.81006
3, 1.75, 0.5, -0.939003, 2.93438, 5.91203
3, 2, 0.5, -0.982841, 2.86662, 5.6009
3, 2.25, 0.5, -0.990467, 2.68251, 5.55096
3, 2.5, 0.5, -0.967132, 2.41783, 5.70392
3, 2.75, 0.5, -1.00689, 2.30746, 5.44805
3.25, 0, 0.5, -1.42132, 5.39123, 4.53987
3.25, 0.25, 0.5, -1.42138, 5.14636, 4.53876
3.25, 0.5, 0.5, -1.42117, 4.90058, 4.53962
3.25, 0.75, 0.5, -1.42151, 4.65669, 4.53916
3.25, 1, 0.5, -1.42118, 4.41055, 4.53958
3.25, 1.25, 0.5, -1.4213, 4.16587, 4.53984
3.25, 1.5, 0.5, -1.42154, 3.92148, 4.53915
3.25, 1.75, 0.5, -1.42115, 3.67539, 4.53952
3.25, 2, 0.5, -1.43429, 3.46208, 4.48952
3.25, 2.25, 0.5, -0.83766, 1.87751, 8.21928
3.25, 2.5, 0.5, -0.83467, 1.7269, 8.27053
3.25, 2.75, 0.5, -0.829733, 1.57363, 8.31796
3.25, 3, 0.5, -0.84159, 1.45102, 8.1738
3.25, 3.25, 0.5, -0.845248, 1.31159, 8.12261
3.25, 3.5, 0.5, -0.844484, 1.16481, 8.12286
3.25, 3.75, 0.5, -0.890745, 1.07504, 7.91775
3.25, 4, 0.5, -0.95309, 0.985955, 7.77708
3.25, 4.25, 0.5, -1.11996, 0.96548, 8.38594
3.25, 6.75, 0.5, -1.11996, -0.96548, 8.38594
3.25, 7, 0.5, -0.95309, -0.985955, 7.77708
3.25, 7.25, 0.5, -0.890745, -1.07504, 7.91775
3.25, 7.5, 0.5, -0.844484, -1.16481, 8.12286
3.25, 7.75, 0.5, -0.845248, -1.31159, 8.12261
3.25, 8, 0.5, -0.84159, -1.45102, 8.1738
3.5, 0, 0.5, -1.73322, 5.60749, 4.32149
3.5, 0.25, 0.5, -1.7547, 5.41893, 4.27584
3.5, 0.5, 0.5, -1.73332, 5.098, 4.32008
3.5, 0.75, 0.5, -1.7549, 4.90339, 4.27507
3.5, 1, 0.5, -1.75491, 4.64534, 4.27503
3.5, 1.25, 0.5, -1.73348, 4.33369, 4.32059
3.5, 1.5, 0.5, -1.73335, 4.07846, 4.32015
3.5, 1.75, 0.5, -1.03807, 2.28986, 7.76103
3.5, 2, 0.5, -1.0434, 2.14817, 7.71797
3.5, 2.25, 0.5, -1.04139, 1.9909, 7.71538
3.5, 2.5, 0.5, -1.04139, 1.83775, 7.71508
3.5, 2.75, 0.5, -1.03814, 1.67934, 7.76161
3.5, 3, 0.5, -1.03407, 1.5207, 7.80866
3.5, 3.25, 0.5, -1.03738, 1.37301, 7.76194
3.5, 3.5, 0.5, -1.03414, 1.21664, 7.80858
3.5, 3.75, 0.5, -1.03732, 1.06782, 7.76185
3.5, 4, 0.5, -1.03725, 0.915222, 7.76137
3.5, 4.25, 0.5, -1.08271, 0.796112, 7.62163
3.5, 5.25, 0.5, -1.29346, 0.190215, 7.41449
3.5, 5.5, 0.5, -1.31475, 1.6101e-16, 7.45453
3.5, 5.75, 0.5, -1.29346, -0.190215, 7.41449
3.5, 6, 0.5, -1.24901, -0.367356, 7.38352
3.5, 6.25, 0.5, -1.19905, -0.528993, 7.43253
3.5, 6.5, 0.5, -1.14384, -0.672846, 7.52613
3.5, 6.75, 0.5, -1.08271, -0.796112, 7.62163
3.5, 7, 0.5, -1.03725, -0.915222, 7.76137
3.5, 7.25, 0.5, -1.03732, -1.06782, 7.76185
3.5, 7.5, 0.5, -1.03414, -1.21664, 7.80858
3.5, 7.75, 0.5, -1.03738, -1.37301, 7.76194
3.5, 8, 0.5, -1.03407, -1.5207, 7.80866
3.75, 0, 0.5, -2.00825, 5.6643, 4.27624
3.75, 0.25, 0.5, -2.00842, 5.40729, 4.27488
3.75, 0.5, 0.5, -1.99171, 5.10695, 4.31902
3.75, 0.75, 0.5, -1.99158, 4.85129, 4.32019
3.75, 1, 0.5, -1.99142, 4.59559, 4.3198
3.75, 1.25, 0.5, -1.20361, 2.62325, 7.65905
3.75, 1.5, 0.5, -1.2101, 2.48225, 7.6179
3.75, 1.75, 0.5, -1.19468, 2.29746, 7.70033
3.75, 2, 0.5, -1.20974, 2.17133, 7.61788
3.75, 2.25, 0.5, -1.2043, 2.00717, 7.65851
3.75, 2.5, 0.5, -1.20362, 1.85173, 7.6589
3.75, 2.75, 0.5, -1.19475, 1.68491, 7.70081
3.75, 3, 0.5, -1.21046, 1.55187, 7.61776
3.75, 3.25, 0.5, -1.20438, 1.38967, 7.6585
3.75, 3.5, 0.5, -1.20958, 1.2406, 7.61811
3.75, 3.75, 0.5, -1.21046, 1.08631, 7.6173
3.75, 4, 0.5, -1.20432, 0.926399, 7.65866
3.75, 4.25, 0.5, -1.21052, 0.775973, 7.61791
3.75, 5.25, 0.5, -1.30877, 0.167791, 7.48136
3.75, 5.5, 0.5, -1.32591, 1.62377e-16, 7.51959
3.75, 5.75, 0.5, -1.30877, -0.167791, 7.48136
3.75, 6, 0.5, -1.28538, -0.329584, 7.52556
3.75, 6.25, 0.5, -1.25274, -0.481822, 7.612
3.75, 6.5, 0.5, -1.2106, -0.62082, 7.61792
3.75, 6.75, 0.5, -1.21052, -0.775973, 7.61791
3.75, 7, 0.5, -1.20432, -0.926399, 7.65866
3.75, 7.25, 0.5, -1.21046, -1.08631, 7.6173
3.75, 7.5, 0.5, -1.20958, -1.2406, 7.61811
3.75, 7.75, 0.5, -1.20438, -1.38967, 7.6585
3.75, 8, 0.5, -1.21046, -1.55187, 7.61776
4, 0, 0.5, -2.21772, 5.5443, 4.38089
4, 0.25, 0.5, -2.21818, 5.2934, 4.38013
4, 0.5, 0.5, -1.36047, 3.09197, 7.66935
4, 0.75, 0.5, -1.34996, 2.91468, 7.71109
4, 1, 0.5, -1.35001, 2.76138, 7.71129
4, 1.25, 0.5, -1.35987, 2.62702, 7.66927
4, 1.5, 0.5, -1.34984, 2.45426, 7.71114
4, 1.75, 0.5, -1.34992, 2.30099, 7.71113
4, 2, 0.5, -1.34019, 2.13213, 7.75338
4, 2.25, 0.5, -1.34089, 1.98086, 7.75305
4, 2.5, 0.5, -1.35063, 1.84177, 7.71069
4, 2.75, 0.5, -1.35077, 1.68846, 7.71124
4, 3, 0.5, -1.35068, 1.53486, 7.71119
4, 3.25, 0.5, -1.34972, 1.38039, 7.71102
4, 3.5, 0.5, -1.36005, 1.23641, 7.66912
4, 3.75, 0.5, -1.34986, 1.07375, 7.71158
4, 4, 0.5, -1.35064, 0.920891, 7.71075
4, 5.25, 0.5, -1.35962, 0.154502, 7.66917
4, 5.5, 0.5, -1.36427, 1.67075e-16, 7.66674
4, 5.75, 0.5, -1.35962, -0.154502, 7.66917
4, 6, 0.5, -1.3497, -0.30675, 7.71155
4, 6.25, 0.5, -1.35078, -0.460495, 7.71128
4, 6.5, 0.5, -1.34966, -0.613482, 7.71159
4, 6.75, 0.5, -1.32431, -0.752449, 7.80028
4, 7, 0.5, -1.35064, -0.920891, 7.71075
4, 7.25, 0.5, -1.34986, -1.07375, 7.71158
4, 7.5, 0.5, -1.36005, -1.23641, 7.66912
4, 7.75, 0.5, -1.34972, -1.38039, 7.71102
4, 8, 0.5, -1.35068, -1.53486, 7.71119
4.25, 0, 0.5, -1.47437, 3.30982, 7.86149
4.25, 0.25, 0.5, -1.48448, 3.18103, 7.82025
4.25, 0.5, 0.5, -1.48447, 3.02953, 7.82019
4.25, 0.75, 0.5, -1.47382, 2.85741, 7.86212
4.25, 1, 0.5, -1.47449, 2.70825, 7.86201
4.25, 1.25, 0.5, -1.47459, 2.55796, 7.86196
4.25, 1.5, 0.5, -1.47383, 2.40625, 7.86251
4.25, 1.75, 0.5, -1.46332, 2.23978, 7.90438
4.25, 2, 0.5, -1.46338, 2.09055, 7.90487
4.25, 2.25, 0.5, -1.46329, 1.9411, 7.90444
4.25, 2.5, 0.5, -1.46417, 1.79286, 7.90398
4.25, 2.75, 0.5, -1.47461, 1.65518, 7.86216
4.25, 3, 0.5, -1.46032, 1.49013, 7.90936
4.25, 3.25, 0.5, -1.46032, 1.34111, 7.90889
4.25, 3.5, 0.5, -1.45951, 1.19143, 7.90971
4.25, 3.75, 0.5, -1.49871, 1.07051, 7.77297
4.25, 5.25, 0.5, -1.48919, 0.151959, 7.81482
4.25, 5.5, 0.5, -1.49996, 1.83692e-16, 7.77263
4.25, 5.75, 0.5, -1.48919, -0.151959, 7.81482
4.25, 6, 0.5, -1.48931, -0.30394, 7.81481
4.25, 6.25, 0.5, -1.49877, -0.458807, 7.77284
4.25, 6.5, 0.5, -1.48942, -0.607926, 7.81538
4.25, 6.75, 0.5, -1.49993, -0.765268, 7.77318
4.25, 7, 0.5, -1.48912, -0.911708, 7.8148
4.25, 7.25, 0.5, -1.49871, -1.07051, 7.77297
4.25, 7.5, 0.5, -1.45951, -1.19143, 7.90971
4.25, 7.75, 0.5, -1.46032, -1.34111, 7.90889
4.25, 8, 0.5, -1.46032, -1.49013, 7.90936
4.5, 0, 0.5, -1.60748, 3.2745, 7.97458
4.5, 0.25, 0.5, -1.5964, 3.10412, 8.01801
4.5, 0.5, 0.5, -1.59643, 2.95636, 8.01787
4.5, 0.75, 0.5, -1.60745, 2.82793, 7.97522
4.5, 1, 0.5, -1.63506, 2.7251, 7.88256
4.5, 1.25, 0.5, -1.59704, 2.51386, 8.01683
4.5, 1.5, 0.5, -1.60806, 2.38231, 7.97411
4.5, 1.75, 0.5, -1.60823, 2.23365, 7.97467
4.5, 2, 0.5, -1.59711, 2.07032, 8.01696
4.5, 2.25, 0.5, -1.58531, 1.90825, 8.06017
4.5, 2.5, 0.5, -1.58615, 1.76239, 8.05974
4.5, 2.75, 0.5, -1.54487, 1.57348, 8.20355
4.5, 3, 0.5, -1.57016, 1.45385, 8.11036
4.5, 3.25, 0.5, -1.58563, 1.32136, 8.06001
4.5, 3.5, 0.5, -1.57018, 1.1631, 8.1097
4.5, 3.75, 0.5, -1.50712, 0.976836, 8.34787
4.5, 5.25, 0.5, -1.63974, 0.151827, 7.87699
4.5, 5.5, 0.5, -1.62741, 1.993e-16, 7.91971
4.5, 5.75, 0.5, -1.63974, -0.151827, 7.87699
4.5, 6, 0.5, -1.62259, -0.30048, 7.92559
4.5, 6.25, 0.5, -1.65576, -0.459934, 7.82935
4.5, 6.5, 0.5, -1.55643, -0.576455, 8.16003
4.5, 6.75, 0.5, -1.4879, -0.688842, 8.40845
4.5, 7, 0.5, -1.5552, -0.863999, 8.16039
4.5, 7.25, 0.5, -1.50712, -0.976836, 8.34787
4.5, 7.5, 0.5, -1.57018, -1.1631, 8.1097
4.5, 7.75, 0.5, -1.58563, -1.32136, 8.06001
4.5, 8, 0.5, -1.57016, -1.45385, 8.11036
4.75, 0, 0.5, -1.65506, 3.08571, 8.40052
4.75, 0.25, 0.5, -1.71515, 3.05239, 8.17506
4.75, 0.5, 0.5, -1.72755, 2.92804, 8.13176
4.75, 0.75, 0.5, -1.75597, 2.82741, 8.0375
4.75, 1, 0.5, -1.74318, 2.65908, 8.08108
4.75, 1.25, 0.5, -1.73143, 2.49443, 8.12468
4.75, 1.5, 0.5, -1.74309, 2.36352, 8.08109
4.75, 1.75, 0.5, -1.74334, 2.21611, 8.08156
4.75, 2, 0.5, -1.77252, 2.10299, 7.98758
4.75, 2.25, 0.5, -1.73219, 1.90834, 8.12367
4.75, 2.5, 0.5, -1.73218, 1.76154, 8.12368
4.75, 2.75, 0.5, -1.71509, 1.59881, 8.17496
4.75, 3, 0.5, -1.68886, 1.43123, 8.26923
4.75, 3.25, 0.5, -1.73141, 1.32057, 8.12454
4.75, 3.5, 0.5, -1.70352, 1.15493, 8.21872
4.75, 5, 0.5, -1.71474, 0.290634, 8.17486
4.75, 5.25, 0.5, -1.64576, 0.139471, 8.41795
4.75, 5.5, 0.5, -1.64584, 2.01557e-16, 8.418
4.75, 5.75, 0.5, -1.64576, -0.139471, 8.41795
4.75, 6, 0.5, -1.71474, -0.290634, 8.17486
4.75, 6.25, 0.5, -1.70355, -0.433107, 8.21868
4.75, 6.5, 0.5, -1.67774, -0.568724, 8.3127
4.75, 6.75, 0.5, -1.64589, -0.697409, 8.41801
4.75, 7, 0.5, -1.70473, -0.866811, 8.21776
4.75, 7.25, 0.5, -1.66094, -0.985305, 8.36497
4.75, 7.5, 0.5, -1.70352, -1.15493, 8.21872
4.75, 7.75, 0.5, -1.73141, -1.32057, 8.12454
4.75, 8, 0.5, -1.68886, -1.43123, 8.26923
5, 0, 0.5, -1.75789, 3.02137, 8.60255
5, 0.25, 0.5, -1.75787, 2.88401, 8.60255
5, 0.5, 0.5, -1.70539, 2.66467, 8.79829
5, 0.75, 0.5, -1.88611, 2.7997, 8.14811
5, 1, 0.5, -1.84385, 2.59291, 8.28688
5, 1.25, 0.5, -1.84471, 2.45, 8.28641
5, 1.5, 0.5, -1.86113, 2.32641, 8.23525
5, 1.75, 0.5, -1.87361, 2.19564, 8.19184
5, 2, 0.5, -1.84875, 2.02207, 8.27809
5, 2.25, 0.5, -1.89206, 1.92163, 8.13919
5, 2.5, 0.5, -1.87458, 1.75742, 8.1914
5, 2.75, 0.5, -1.8487, 1.58873, 8.27855
5, 3, 0.5, -1.86204, 1.45472, 8.23426
5, 3.25, 0.5, -1.84981, 1.30065, 8.2776
5, 5, 0.5, -1.86575, 0.291523, 8.22677
5, 5.25, 0.5, -1.87975, 0.146855, 8.18313
5, 5.5, 0.5, -1.87943, 2.30164e-16, 8.18257
5, 5.75, 0.5, -1.87975, -0.146855, 8.18313
5, 6, 0.5, -1.86575, -0.291523, 8.22677
5, 6.25, 0.5, -1.84865, -0.433276, 8.27801
5, 6.5, 0.5, -1.83762, -0.574256, 8.32114
5, 6.75, 0.5, -1.86574, -0.728806, 8.22678
5, 7, 0.5, -1.84857, -0.866519, 8.27859
5, 7.25, 0.5, -1.82089, -0.995799, 8.37404
5, 7.5, 0.5, -1.86201, -1.16375, 8.23448
5, 7.75, 0.5, -1.84981, -1.30065, 8.2776
5, 8, 0.5, -1.86204, -1.45472, 8.23426
5.25, 0, 0.5, -1.87792, 2.99378, 8.71993
5.25, 0.25, 0.5, -1.85496, 2.82276, 8.80883
5.25, 0.5, 0.5, -1.85418, 2.68722, 8.80935
5.25, 0.75, 0.5, -1.82686, 2.51524, 8.90908
5.25, 1, 0.5, -1.83902, 2.39873, 8.86416
5.25, 1.25, 0.5, -2.2385, 2.75758, 7.72143
5.25, 1.5, 0.5, -1.97343, 2.28804, 8.39227
5.25, 1.75, 0.5, -1.96085, 2.13136, 8.43594
5.25, 2, 0.5, -1.97266, 2.00125, 8.39323
5.25, 2.25, 0.5, -2.03668, 1.91861, 8.19946
5.25, 2.5, 0.5, -1.96105, 1.70526, 8.43648
5.25, 2.75, 0.5, -1.99185, 1.58771, 8.33954
5.25, 3, 0.5, -1.9598, 1.42015, 8.43685
5.25, 3.25, 0.5, -2.00891, 1.31016, 8.28732
5.25, 5, 0.5, -2.02349, 0.29326, 8.24298
5.25, 5.25, 0.5, -2.01015, 0.145663, 8.28702
5.25, 5.5, 0.5, -2.01005, 2.4616e-16, 8.28642
5.25, 5.75, 0.5, -2.01015, -0.145663, 8.28702
5.25, 6, 0.5, -2.02349, -0.29326, 8.24298
5.25, 6.25, 0.5, -2.01025, -0.43701, 8.28639
5.25, 6.5, 0.5, -1.99168, -0.577298, 8.33913
5.25, 6.75, 0.5, -2.01019, -0.72833, 8.28637
5.25, 7, 0.5, -1.99183, -0.866013, 8.33961
5.25, 7.25, 0.5, -1.99043, -1.00964, 8.33954
5.25, 7.5, 0.5, -1.99048, -1.1539, 8.33952
5.25, 7.75, 0.5, -2.00891, -1.31016, 8.28732
5.25, 8, 0.5, -1.9598, -1.42015, 8.43685
5.5, 0, 0.5, -1.99783, 2.96975, 8.83058
5.5, 0.25, 0.5, -1.97299, 2.79951, 8.92039
5.5, 0.5, 0.5, -2.01533, 2.72341, 8.77563
5.5, 0.75, 0.5, -1.98511, 2.54845, 8.87534
5.5, 1, 0.5, -1.96194, 2.38614, 8.96381
5.5, 1.25, 0.5, -1.93282, 2.22013, 9.06563
5.5, 1.5, 0.5, -2.56196, 2.76969, 7.61453
5.5, 1.75, 0.5, -2.44537, 2.47842, 7.75327
5.5, 2, 0.5, -2.40172, 2.2719, 7.80675
5.5, 2.25, 0.5, -2.38048, 2.09097, 7.8421
5.5, 2.5, 0.5, -2.33941, 1.89682, 7.91295
5.5, 2.75, 0.5, -2.15003, 1.59799, 8.34905
5.5, 3, 0.5, -2.12931, 1.43872, 8.40256
5.5, 5, 0.5, -2.12258, 0.286834, 8.43592
5.5, 5.25, 0.5, -2.16839, 0.146513, 8.29583
5.5, 5.5, 0.5, -2.13481, 2.61439e-16, 8.39311
5.5, 5.75, 0.5, -2.16839, -0.146513, 8.29583
5.5, 6, 0.5, -2.12258, -0.286834, 8.43592
5.5, 6.25, 0.5, -2.17002, -0.439868, 8.29604
5.5, 6.5, 0.5, -2.1363, -0.577378, 8.39227
5.5, 6.75, 0.5, -2.12111, -0.71659, 8.43688
5.5, 7, 0.5, -2.16981, -0.879654, 8.29551
5.5, 7.25, 0.5, -2.10231, -0.994335, 8.49057
