X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
2.5, 3.25, 0.5, -0.61796, 0.6621, 5.13544
2.75, 0, 0.5, -0.592915, 2.49649, 7.5181
2.75, 0.25, 0.5, -0.599615, 2.3669, 7.41433
2.75, 0.5, 0.5, -0.592201, 2.18179, 7.51624
2.75, 0.75, 0.5, -0.599651, 2.05144, 7.41436
2.75, 1, 0.5, -0.613884, 1.93858, 7.20956
2.75, 1.25, 0.5, -0.655305, 1.89694, 6.69895
2.75, 1.5, 0.5, -0.551246, 1.45065, 8.12291
2.75, 1.75, 0.5, -0.577232, 1.36713, 7.71567
2.75, 2, 0.5, -0.645397, 1.35873, 6.79714
2.75, 2.25, 0.5, -0.672011, 1.23791, 6.4921
2.75, 2.5, 0.5, -0.65872, 1.04008, 6.64517
2.75, 2.75, 0.5, -0.688348, 0.905721, 6.28139
2.75, 3, 0.5, -0.723469, 0.761547, 5.9202
3, 0, 0.5, -0.953269, 3.17756, 5.81006
3, 0.25, 0.5, -0.939003, 2.93438, 5.91203
3, 0.5, 0.5, -0.982841, 2.86662, 5.6009
3, 0.75, 0.5, -0.990467, 2.68251, 5.55096
3, 1, 0.5, -0.967132, 2.41783, 5.70392
3, 1.25, 0.5, -1.00689, 2.30746, 5.44805
3, 1.5, 0.5, -0.982949, 2.04781, 5.60154
3, 1.75, 0.5, -1.00692, 1.88798, 5.44805
3, 2, 0.5, -1.02202, 1.70337, 5.34156
3, 2.25, 0.5, -1.05445, 1.53774, 5.13404
3, 2.5, 0.5, -1.046, 1.3075, 5.18408
3, 2.75, 0.5, -1.02997, 1.07288, 5.29089
3, 3, 0.5, -1.05501, 0.879172, 5.13328
3, 7, 0.5, -0.672664, -1.68166, 10.2718
3, 7.25, 0.5, -0.594472, -1.61003, 9.73346
3, 7.5, 0.5, -0.573786, -1.67354, 10.0335
3, 7.75, 0.5, -0.580592, -1.81435, 9.88767
3, 8, 0.5, -0.565164, -1.88388, 10.1851
3.25, 0, 0.5, -1.42154, 3.92148, 4.53915
3.25, 0.25, 0.5, -1.42115, 3.67539, 4.53952
3.25, 0.5, 0.5, -1.43429, 3.46208, 4.48952
3.25, 0.75, 0.5, -1.42142, 3.18595, 4.53949
3.25, 1, 0.5, -1.42113, 2.94026, 4.53932
3.25, 1.25, 0.5, -1.42107, 2.69512, 4.53937
