X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 0, 0.5, 2.52287, 2.73885, 3.94199
0, 0.25, 0.5, 2.55236, 2.49497, 3.88117
0, 0.5, 0.5, 2.61041, 2.26954, 3.77447
0, 0.75, 0.5, 2.67118, 2.03363, 3.65624
0, 2.25, 0.5, 2.87131, 0.323768, 3.3261
0, 2.5, 0.5, 2.90783, 0.013566, 3.26932
0, 2.75, 0.5, 2.90789, -0.30076, 3.26593
0, 3, 0.5, 2.87135, -0.607357, 3.31329
0, 3.25, 0.5, 2.86417, -0.915439, 3.32754
0, 3.5, 0.5, 2.8355, -1.21277, 3.38406
0, 3.75, 0.5, 2.7677, -1.48295, 3.48396
0, 4, 0.5, 2.73488, -1.76099, 3.55334
0, 4.25, 0.5, 2.64048, -1.98562, 3.69615
0, 4.5, 0.5, 2.61025, -2.24505, 3.77581
0, 4.75, 0.5, 2.55246, -2.47124, 3.87014
0, 5, 0.5, 2.52386, -2.71638, 3.94191
0, 5.25, 0.5, 2.44377, -2.89433, 4.09746
0, 5.5, 0.5, 2.39289, -3.09273, 4.19377
0, 5.75, 0.5, 2.36827, -3.3169, 4.26936
0, 6, 0.5, 2.31335, -3.49005, 4.37826
0, 6.25, 0.5, 2.25214, -3.64115, 4.53787
0, 6.5, 0.5, 2.20885, -3.80992, 4.6346
0, 6.75, 0.5, 2.16725, -3.97243, 4.75156
0, 7, 0.5, 1.96347, -3.81115, 5.32975
0, 7.25, 0.5, 2.06964, -4.24094, 5.00859
0, 7.5, 0.5, 2.05102, -4.4245, 5.05545
0, 7.75, 0.5, 1.99761, -4.5252, 5.21163
0, 8, 0.5, 1.98034, -4.70015, 5.28283
0.25, 0, 0.5, 2.27455, 2.76853, 3.88542
0.25, 0.25, 0.5, 2.32645, 2.54974, 3.77316
0.25, 0.5, 0.5, 2.3805, 2.32048, 3.65848
0.25, 0.75, 0.5, 2.43679, 2.08003, 3.55323
0.25, 2.25, 0.5, 2.6937, 0.340552, 3.09596
0.25, 2.5, 0.5, 2.69366, 0.0140899, 3.09704
0.25, 2.75, 0.5, 2.69373, -0.312376, 3.09837
0.25, 3, 0.5, 2.65882, -0.630563, 3.15167
0.25, 3.25, 0.5, 2.65735, -0.952268, 3.15616
0.25, 3.5, 0.5, 2.59126, -1.24263, 3.2671
0.25, 3.75, 0.5, 2.55789, -1.53663, 3.3273
0.25, 4, 0.5, 2.49651, -1.80232, 3.43397
0.25, 4.25, 0.5, 2.43677, -2.05452, 3.55316
0.25, 4.5, 0.5, 2.38045, -2.29553, 3.66285
0.25, 4.75, 0.5, 2.35071, -2.55175, 3.7209
0.25, 5, 0.5, 2.27461, -2.74481, 3.88525
0.25, 5.25, 0.5, 2.22527, -2.95496, 3.99404
0.25, 5.5, 0.5, 2.20121, -3.18979, 4.04964
0.25, 5.75, 0.5, 2.1324, -3.34851, 4.21488
0.25, 6, 0.5, 2.08892, -3.53341, 4.32406
0.25, 6.25, 0.5, 2.02702, -3.67435, 4.48009
0.25, 6.5, 0.5, 1.89553, -3.66574, 4.85752
0.25, 6.75, 0.5, 1.93141, -3.9692, 4.73446
0.25, 7, 0.5, 1.76484, -3.84078, 5.26744
0.25, 7.25, 0.5, 1.82779, -4.19929, 5.07298
0.25, 7.5, 0.5, 1.84437, -4.46091, 5.01561
0.25, 7.75, 0.5, 1.79585, -4.56119, 5.14249
0.25, 8, 0.5, 1.76483, -4.69631, 5.24418
0.5, 0, 0.5, 1.95348, 2.70564, 3.99561
0.5, 0.25, 0.5, 2.06578, 2.57629, 3.69444
0.5, 0.5, 0.5, 2.13945, 2.37312, 3.5534
0.5, 0.75, 0.5, 2.19163, 2.12876, 3.43943
0.5, 1, 0.5, 2.24649, 1.87223, 3.32129
0.5, 2.25, 0.5, 2.46124, 0.354075, 2.9246
0.5, 2.5, 0.5, 2.46149, 0.0146511, 2.92451
0.5, 2.75, 0.5, 2.46202, -0.324879, 2.92466
0.5, 3, 0.5, 2.42867, -0.655412, 2.97829
0.5, 3.25, 0.5, 2.39608, -0.977057, 3.01823
0.5, 3.5, 0.5, 2.36456, -1.2903, 3.09704
0.5, 3.75, 0.5, 2.3318, -1.594, 3.15626
0.5, 4, 0.5, 2.24646, -1.84546, 3.30898
0.5, 4.25, 0.5, 2.21876, -2.12869, 3.38307
0.5, 4.5, 0.5, 2.13949, -2.3477, 3.52191
0.5, 4.75, 0.5, 2.08981, -2.58138, 3.65448
0.5, 5, 0.5, 2.0423, -2.80435, 3.76971
0.5, 5.25, 0.5, 1.97503, -2.98436, 3.93285
0.5, 5.5, 0.5, 1.95342, -3.22109, 3.9961
0.5, 5.75, 0.5, 1.89186, -3.38049, 4.14644
0.5, 6, 0.5, 1.85283, -3.56627, 4.26668
0.5, 6.25, 0.5, 1.79723, -3.70711, 4.42332
0.5, 6.5, 0.5, 1.76194, -3.8773, 4.51722
