X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 0.75, 0.5, 4.09696, 1.02424, 3.77646
0, 1, 0.5, 4.10222, 0, 3.7323
0, 1.25, 0.5, 4.09696, -1.02424, 3.77646
0, 1.5, 0.5, 4.68236, -2.34118, 3.1562
0, 1.75, 0.5, 4.13868, -3.10401, 3.72068
0, 2, 0.5, 3.91736, -3.91736, 3.99715
0, 2.25, 0.5, 3.53929, -4.42412, 4.50375
0, 2.5, 0.5, 3.7592, -5.6388, 4.21558
0, 2.75, 0.5, 3.39929, -5.94876, 4.75491
0, 3, 0.5, 3.3724, -6.7448, 4.8082
0, 3.25, 0.5, 3.1065, -6.98962, 5.28555
0, 3.5, 0.5, 3.03056, -7.57639, 5.44332
0, 3.75, 0.5, 3.05565, -8.40304, 5.39074
0, 4, 0.5, 2.8628, -8.5884, 5.80952
0.25, 0.75, 0.5, 3.69237, 1.23079, 3.90586
0.25, 1, 0.5, 3.73335, 0, 3.88171
0.25, 1.25, 0.5, 3.69237, -1.23079, 3.90586
0.25, 1.5, 0.5, 3.52808, -2.35205, 4.16127
0.25, 1.75, 0.5, 3.36005, -3.36005, 4.43024
0.25, 2, 0.5, 3.14022, -4.18696, 4.77306
0.25, 2.25, 0.5, 3.53452, -5.89087, 4.16106
0.25, 2.5, 0.5, 2.84039, -5.68077, 5.39083
0.25, 2.75, 0.5, 2.73172, -6.37402, 5.64819
0.25, 3, 0.5, 2.68612, -7.16299, 5.75753
0.25, 3.25, 0.5, 2.83713, -8.51139, 5.3908
0.25, 3.5, 0.5, 2.69939, -8.99798, 5.70521
0.25, 4, 0.5, 2.50654, -10.0262, 6.22553
0.5, 0, 0.5, 2.57015, 5.14031, 5.54194
0.5, 1, 0.5, 3.45566, 0, 3.88384
0.5, 1.25, 0.5, 3.3747, -1.68735, 3.99687
0.5, 1.5, 0.5, 3.83837, -3.83837, 3.38432
0.5, 1.75, 0.5, 2.79872, -4.19808, 5.02108
0.5, 2, 0.5, 2.57015, -5.14031, 5.54194
0.5, 2.25, 0.5, 2.1157, -5.28924, 6.89018
0.5, 2.5, 0.5, 2.22149, -6.66448, 6.50255
0.5, 2.75, 0.5, 2.28582, -8.00038, 6.32892
0.5, 3, 0.5, 2.00429, -8.01715, 7.30499
0.5, 3.25, 0.5, 1.97893, -8.90518, 7.40702
0.5, 3.5, 0.5, 1.89542, -9.47711, 7.76357
0.5, 3.75, 0.5, 2.08338, -11.4586, 6.9979
0.5, 4, 0.5, 1.99275, -11.9565, 7.35589
0.75, 0, 0.5, 2.30291, 9.21163, 5.70525
0.75, 0.25, 0.5, 2.04288, 6.12865, 6.50656
0.75, 0.5, 0.5, 2.32516, 4.65033, 5.64637
0.75, 0.75, 0.5, 1.95891, 1.95891, 6.84129
0.75, 1, 0.5, 3.32552, 0, 3.65149
0.75, 1.25, 0.5, 2.88878, -2.88878, 4.37553
0.75, 1.5, 0.5, 2.32516, -4.65033, 5.64637
0.75, 1.75, 0.5, 2.04288, -6.12865, 6.50656
0.75, 2, 0.5, 2.30291, -9.21163, 5.70525
0.75, 2.25, 0.5, 1.64824, -8.24119, 8.22058
0.75, 2.5, 0.5, 1.91467, -11.488, 6.9979
0.75, 2.75, 0.5, 1.77624, -12.4337, 7.61094
0.75, 3, 0.5, 1.34274, -10.7419, 10.2344
1.25, 0, 0.5, 1.56292, -6.25167, 7.09458
1.25, 0.25, 0.5, 1.45679, -4.37037, 7.65875
1.25, 0.5, 0.5, 2.12618, -4.25235, 5.01821
1.25, 0.75, 0.5, 2.56526, -2.56526, 3.94951
1.25, 1, 0.5, 2.91365, -3.56819e-16, 3.37403
1.25, 1.25, 0.5, 1.45682, 1.45682, 7.65037
1.25, 1.5, 0.5, 2.12618, 4.25235, 5.01821
1.25, 1.75, 0.5, 1.45679, 4.37037, 7.65875
1.25, 2, 0.5, 1.56292, 6.25167, 7.09458
1.25, 2.25, 0.5, 1.77368, 8.86838, 6.17362
1.25, 2.5, 0.5, 1.27571, 7.65428, 8.82666
1.25, 2.75, 0.5, 1.24872, 8.74103, 9.02326
1.5, 0, 0.5, 1.9358, -3.87159, 4.91132
1.5, 0.25, 0.5, 2.08917, -3.13376, 4.47495
1.5, 0.5, 0.5, 2.39764, -2.39764, 3.74773
1.5, 1.5, 0.5, 1.67452, 1.67452, 5.80954
1.5, 2, 0.5, 1.9358, 3.87159, 4.91132
1.5, 2.25, 0.5, 1.82971, 4.57427, 5.23288
1.5, 2.5, 0.5, 1.70356, 5.11067, 5.65314
1.5, 2.75, 0.5, 1.54015, 5.39052, 6.37523
1.75, 0, 0.5, 1.97872, -2.63829, 4.10117
1.75, 0.25, 0.5, 2.21432, -2.21432, 3.54254
1.75, 0.5, 0.5, 2.32481, -1.54988, 3.32599
1.75, 0.75, 0.5, 2.42893, -0.809642, 3.09877
1.75, 1, 0.5, 2.49924, -3.06069e-16, 2.98278
1.75, 1.25, 0.5, 2.42893, 0.809642, 3.09877
1.75, 2.5, 0.5, 1.84168, 3.68336, 4.4685
2, 0, 0.5, 2.01138, -2.01138, 3.32759
2, 0.25, 0.5, -0.805723, 0.604293, 5.71061
2, 0.5, 0.5, 1.24806, -0.624029, 5.96464
2, 0.75, 0.5, 1.91668, -0.479171, 3.55183
2, 1, 0.5, 1.89409, -2.31959e-16, 3.59232
2, 1.25, 0.5, 1.91668, 0.479171, 3.55183
2.25, 0, 0.5, -0.886637, 0.709309, 6.43925
2.25, 0.25, 0.5, -0.941642, 0.564985, 6.22689
2.25, 0.5, 0.5, -0.977531, 0.391013, 5.96801
2.25, 0.75, 0.5, -1.00547, 0.201094, 5.81335
2.25, 1, 0.5, -1.00697, 1.23318e-16, 5.70988
2.25, 1.25, 0.5, -1.00547, -0.201094, 5.81335
2.25, 1.5, 0.5, -0.977531, -0.391013, 5.96801
2.5, 0, 0.5, -1.00517, 0.670111, 6.85071
2.5, 0.25, 0.5, -1.0481, 0.524048, 6.64347
2.5, 0.5, 0.5, -1.0768, 0.358932, 6.43681
2.5, 0.75, 0.5, -1.09318, 0.182197, 6.28519
2.5, 1, 0.5, -1.09925, 1.3462e-16, 6.23077
2.5, 1.25, 0.5, -1.09318, -0.182197, 6.28519
2.5, 1.5, 0.5, -1.0768, -0.358932, 6.43681
2.5, 2.5, 0.5, -0.9785, -0.9785, 7.84328
2.75, 0, 0.5, -1.12761, 0.644348, 7.35696
2.75, 0.25, 0.5, -1.15114, 0.493347, 7.1025
2.75, 0.5, 0.5, -1.17135, 0.33467, 6.90162
2.75, 0.75, 0.5, -1.19575, 0.170822, 6.84788
2.75, 1, 0.5, -1.20745, 1.47871e-16, 6.84591
2.75, 1.25, 0.5, -1.19575, -0.170822, 6.84788
2.75, 1.5, 0.5, -1.17135, -0.33467, 6.90162
2.75, 1.75, 0.5, -1.15114, -0.493347, 7.1025
2.75, 2.75, 0.5, -1.04605, -1.04605, 8.38643
2.75, 3, 0.5, -1.00354, -1.1469, 8.63942
2.75, 3.25, 0.5, -0.968107, -1.24471, 8.93938
2.75, 3.5, 0.5, -0.929821, -1.32832, 9.18935
2.75, 3.75, 0.5, -0.899154, -1.41296, 9.49186
2.75, 4.5, 0.5, -1.39428, -2.78856, 5.76369
3, 0, 0.5, -1.21116, 0.605578, 7.61703
3, 0.25, 0.5, -1.23304, 0.46239, 7.46521
3, 0.5, 0.5, -1.25541, 0.313852, 7.31373
3, 0.75, 0.5, -1.27077, 0.158847, 7.26119
3, 1, 0.5, -1.27211, 1.55789e-16, 7.20915
3, 1.25, 0.5, -1.27077, -0.158847, 7.26119
3, 1.5, 0.5, -1.25541, -0.313852, 7.31373
3, 1.75, 0.5, -1.23304, -0.46239, 7.46521
3, 2.75, 0.5, -1.1468, -1.00345, 8.63864
3, 3, 0.5, -1.10259, -1.10259, 8.83971
3, 3.25, 0.5, -1.0713, -1.20521, 9.13895
3, 3.5, 0.5, -1.03487, -1.29359, 9.38877
3, 3.75, 0.5, -1.00538, -1.38239, 9.69024
3, 4, 0.5, -0.977577, -1.46637, 9.98811
3, 4.25, 0.5, -0.946853, -1.53864, 10.2391
3, 4.5, 0.5, -0.914301, -1.60003, 10.4451
3, 4.75, 0.5, -1.21397, -2.2762, 7.72324
3, 5, 0.5, -1.21415, -2.4283, 7.72375
3, 5.25, 0.5, -1.13173, -2.40492, 8.33069
3, 5.5, 0.5, -1.28243, -2.88547, 7.31383
3, 5.75, 0.5, -1.41544, -3.36167, 6.59081
3, 6, 0.5, -1.50045, -3.75112, 6.17816
3, 6.25, 0.5, -1.17874, -3.0942, 8.02369
3, 6.5, 0.5, -1.26311, -3.47355, 7.46159
3, 6.75, 0.5, -1.32195, -3.8006, 7.10369
3, 7, 0.5, -1.1282, -3.3846, 8.42587
3, 7.25, 0.5, -1.10948, -3.46713, 8.57731
3.25, 0, 0.5, -1.35189, 0.600838, 7.76929
3.25, 0.25, 0.5, -1.37507, 0.458355, 7.61721
3.25, 0.5, 0.5, -1.44273, 0.320607, 7.20951
3.25, 0.75, 0.5, -1.43457, 0.159397, 7.26001
3.25, 1, 0.5, -1.51683, 1.85758e-16, 6.801
3.25, 1.25, 0.5, -1.43457, -0.159397, 7.26001
3.25, 1.5, 0.5, -1.44273, -0.320607, 7.20951
3.25, 1.75, 0.5, -1.37507, -0.458355, 7.61721
3.25, 2, 0.5, -1.35189, -0.600838, 7.76929
3.25, 3, 0.5, -1.19854, -1.06537, 9.09086
3.25, 3.25, 0.5, -1.16478, -1.16478, 9.33832
3.25, 3.5, 0.5, -1.1314, -1.25711, 9.58788
3.25, 3.75, 0.5, -1.10488, -1.35041, 9.88868
3.25, 4, 0.5, -1.06821, -1.42427, 10.0927
3.25, 4.25, 0.5, -1.04302, -1.50658, 10.3903
3.25, 4.5, 0.5, -1.01935, -1.58566, 10.6876
3.25, 4.75, 0.5, -0.992763, -1.65461, 10.9389
3.25, 5, 0.5, -0.967683, -1.72033, 11.1896
3.25, 5.25, 0.5, -1.28303, -2.42351, 8.27934
3.25, 5.5, 0.5, -1.26092, -2.52184, 8.43169
3.25, 5.75, 0.5, -1.28414, -2.71097, 8.28013
3.25, 6, 0.5, -1.24167, -2.75926, 8.58279
3.25, 6.25, 0.5, -1.21538, -2.83589, 8.78383
3.25, 6.5, 0.5, -1.31596, -3.21678, 8.0783
3.25, 6.75, 0.5, -1.21032, -3.09304, 8.83413
3.25, 7, 0.5, -1.23641, -3.2971, 8.63317
3.25, 7.25, 0.5, -1.21675, -3.37987, 8.78381
3.25, 7.5, 0.5, -1.40166, -4.04923, 7.56843
3.25, 7.75, 0.5, -1.42067, -4.262, 7.46461
3.25, 8, 0.5, -1.4785, -4.59978, 7.156
3.5, 0, 0.5, -1.45247, 0.580987, 8.12227
3.5, 0.25, 0.5, -1.46674, 0.440021, 8.01943
3.5, 0.5, 0.5, -1.77222, 0.354444, 6.49266
3.5, 0.75, 0.5, -1.49395, 0.149395, 7.86743
3.5, 1, 0.5, -1.50292, 1.84054e-16, 7.81687
3.5, 1.25, 0.5, -1.49395, -0.149395, 7.86743
3.5, 1.5, 0.5, -1.77222, -0.354444, 6.49266
3.5, 1.75, 0.5, -1.46674, -0.440021, 8.01943
3.5, 2, 0.5, -1.45247, -0.580987, 8.12227
3.5, 3.25, 0.5, -1.25711, -1.1314, 9.58787
3.5, 3.5, 0.5, -1.22129, -1.22129, 9.79042
3.5, 3.75, 0.5, -1.18556, -1.30412, 9.99377
3.5, 4, 0.5, -1.15748, -1.38898, 10.2439
3.5, 4.25, 0.5, -1.12819, -1.46665, 10.4938
3.5, 4.5, 0.5, -1.10636, -1.54891, 10.7908
3.5, 4.75, 0.5, -1.07604, -1.61406, 10.9952
