X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
2.5, 1.75, 0.5, -0.61796, 0.6621, 5.13544
2.5, 2, 0.5, -0.683756, 0.488397, 4.76353
2.5, 2.25, 0.5, -0.746789, 0.26671, 4.49548
2.5, 2.5, 0.5, -0.774201, 9.48123e-17, 4.38899
2.75, 0, 0.5, -0.551246, 1.45065, 8.12291
2.75, 0.25, 0.5, -0.577232, 1.36713, 7.71567
2.75, 0.5, 0.5, -0.645397, 1.35873, 6.79714
2.75, 0.75, 0.5, -0.672011, 1.23791, 6.4921
2.75, 1, 0.5, -0.65872, 1.04008, 6.64517
2.75, 1.25, 0.5, -0.688348, 0.905721, 6.28139
2.75, 1.5, 0.5, -0.723469, 0.761547, 5.9202
2.75, 1.75, 0.5, -0.776113, 0.612721, 5.60571
2.75, 2, 0.5, -0.817891, 0.430469, 5.23966
2.75, 2.25, 0.5, -0.866078, 0.227915, 5.077
2.75, 2.5, 0.5, -0.86813, 1.06315e-16, 4.92254
2.75, 7.25, 0.5, -0.565193, -2.82596, 7.92481
2.75, 7.5, 0.5, -0.561849, -2.9571, 7.97537
2.75, 7.75, 0.5, -0.568737, -3.14302, 7.87331
2.75, 8, 0.5, -0.562593, -3.25712, 7.97555
3, 0, 0.5, -0.982949, 2.04781, 5.60154
3, 0.25, 0.5, -1.00692, 1.88798, 5.44805
3, 0.5, 0.5, -1.02202, 1.70337, 5.34156
3, 0.75, 0.5, -1.05445, 1.53774, 5.13404
3, 1, 0.5, -1.046, 1.3075, 5.18408
3, 1.25, 0.5, -1.02997, 1.07288, 5.29089
3, 1.5, 0.5, -1.05501, 0.879172, 5.13328
3, 1.75, 0.5, -1.06103, 0.663144, 5.07793
3, 2, 0.5, -1.061, 0.442082, 5.07799
3, 2.25, 0.5, -1.07762, 0.224505, 4.97163
3, 2.5, 0.5, -1.05295, 1.28949e-16, 5.1285
3, 5.5, 0.5, -0.672664, -1.68166, 10.2718
3, 5.75, 0.5, -0.594472, -1.61003, 9.73346
3, 6, 0.5, -0.573786, -1.67354, 10.0335
3, 6.25, 0.5, -0.580592, -1.81435, 9.88767
3, 6.5, 0.5, -0.565164, -1.88388, 10.1851
3, 6.75, 0.5, -0.553333, -1.95972, 10.4339
3, 7, 0.5, -0.514357, -1.92884, 11.2821
3, 7.25, 0.5, -0.57046, -2.25807, 10.0881
3, 7.5, 0.5, -0.514298, -2.14291, 11.2822
