X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity
0, 0, 0.5, 3.33839, 2.92178, 7.55893
0, 0.25, 0.5, 3.35943, 2.75802, 7.5188
0, 0.5, 0.5, 3.30661, 2.53534, 7.60085
0, 0.75, 0.5, 3.35191, 2.3883, 7.51846
0, 1, 0.5, 3.27442, 2.15552, 7.64279
0, 1.25, 0.5, 3.29597, 1.99098, 7.60087
0, 1.5, 0.5, 3.26709, 1.79636, 7.64301
0, 1.75, 0.5, 3.2271, 1.59937, 7.70837
0, 2, 0.5, 3.19052, 1.40822, 7.76704
0, 2.25, 0.5, 3.22099, 1.247, 7.70846
0, 2.5, 0.5, 3.13834, 1.04481, 7.85213
0, 2.75, 0.5, 3.19275, 0.889788, 7.7506
0, 3, 0.5, 3.11198, 0.69852, 7.89408
0, 3.25, 0.5, 3.62341, 0.616824, 7.08071
0, 3.5, 0.5, 3.56327, 0.413354, 7.16049
0, 3.75, 0.5, 3.74635, 0.231431, 6.9222
0, 4, 0.5, 3.74439, 0.0282569, 6.92246
0, 4.25, 0.5, 3.77704, -0.176321, 6.88338
0, 4.5, 0.5, 3.56266, -0.359512, 7.16
0, 4.75, 0.5, 3.65373, -0.566839, 7.04083
0, 5, 0.5, 3.11267, -0.651696, 7.89359
0, 5.25, 0.5, 3.09097, -0.814771, 7.93598
0, 5.5, 0.5, 3.16151, -1.00481, 7.80893
0, 5.75, 0.5, 3.11776, -1.15998, 7.89373
0, 6, 0.5, 3.18909, -1.35946, 7.76792
0, 6.25, 0.5, 3.23967, -1.5567, 7.68421
0, 6.5, 0.5, 3.26723, -1.74712, 7.64237
0, 6.75, 0.5, 3.3191, -1.95485, 7.55998
0, 7, 0.5, 3.34866, -2.15385, 7.51809
0, 7.25, 0.5, 3.27648, -2.28511, 7.64301
0, 7.5, 0.5, 3.46062, -2.60119, 7.35431
0, 7.75, 0.5, 3.4108, -2.74871, 7.43555
0, 8, 0.5, 3.3114, -2.84818, 7.60118
0.25, 0, 0.5, 3.27601, 3.03158, 7.35501
0.25, 0.25, 0.5, 3.14997, 2.73433, 7.55954
0.25, 0.5, 0.5, 3.14614, 2.55062, 7.559
0.25, 0.75, 0.5, 3.14271, 2.36764, 7.55945
0.25, 1, 0.5, 3.11533, 2.16839, 7.60086
0.25, 1.25, 0.5, 3.04245, 1.94321, 7.72627
0.25, 1.5, 0.5, 2.99486, 1.74109, 7.80951
0.25, 1.75, 0.5, 2.94901, 1.54535, 7.89414
0.25, 2, 0.5, 2.9994, 1.39978, 7.79152
0.25, 2.25, 0.5, 2.94258, 1.20453, 7.89422
0.25, 2.5, 0.5, 3.36906, 1.18593, 7.16002
0.25, 2.75, 0.5, 3.51032, 1.03439, 6.96146
0.25, 3, 0.5, 3.36394, 0.798371, 7.16045
0.25, 3.25, 0.5, 3.47497, 0.625473, 7.00148
0.25, 3.5, 0.5, 3.44487, 0.422532, 7.04088
0.25, 3.75, 0.5, 3.57763, 0.233681, 6.86779
0.25, 4, 0.5, 3.50244, 0.0279466, 6.96111
0.25, 4.25, 0.5, 3.5317, -0.174321, 6.92286
0.25, 4.5, 0.5, 3.50244, -0.373701, 6.96189
0.25, 4.75, 0.5, 3.44649, -0.565346, 7.04002
0.25, 5, 0.5, 3.39182, -0.750858, 7.11945
0.25, 5.25, 0.5, 3.56852, -0.994589, 6.88344
0.25, 5.5, 0.5, 3.45261, -1.16025, 7.04102
0.25, 5.75, 0.5, 3.51444, -1.38254, 6.96212
0.25, 6, 0.5, 3.02077, -1.36154, 7.75008
0.25, 6.25, 0.5, 2.96912, -1.5085, 7.85213
0.25, 6.5, 0.5, 3.02597, -1.71089, 7.75018
0.25, 6.75, 0.5, 3.04111, -1.89382, 7.72584
0.25, 7, 0.5, 3.08991, -2.10138, 7.64255
0.25, 7.25, 0.5, 3.11701, -2.29853, 7.6009
0.25, 7.5, 0.5, 3.19341, -2.53798, 7.47701
0.25, 7.75, 0.5, 3.19595, -2.72324, 7.47727
0.25, 8, 0.5, 3.10505, -2.82383, 7.64303
0.5, 0, 0.5, 3.08492, 3.0284, 7.3538
0.5, 0.25, 0.5, 3.03266, 2.79263, 7.4362
0.5, 0.5, 0.5, 2.93815, 2.52688, 7.60105
0.5, 0.75, 0.5, 2.91267, 2.32781, 7.64301
0.5, 1, 0.5, 2.89848, 2.14016, 7.66611
0.5, 1.25, 0.5, 2.85144, 1.93199, 7.75074
0.5, 1.5, 0.5, 2.81842, 1.73818, 7.80954
0.5, 1.75, 0.5, 2.78433, 1.5478, 7.87597
0.5, 2, 0.5, 3.2824, 1.62502, 7.00042
0.5, 2.25, 0.5, 3.17083, 1.37692, 7.15998
0.5, 2.5, 0.5, 3.30175, 1.23294, 6.96156
0.5, 2.75, 0.5, 3.36877, 1.05306, 6.86866
0.5, 3, 0.5, 3.33708, 0.840168, 6.90723
0.5, 3.25, 0.5, 3.30621, 0.631293, 6.94644
0.5, 3.5, 0.5, 3.39121, 0.441251, 6.82954
0.5, 3.75, 0.5, 3.30356, 0.228904, 6.94633
0.5, 4, 0.5, 3.30309, 0.0279591, 6.94634
0.5, 4.25, 0.5, 3.27572, -0.171521, 6.98611
0.5, 4.5, 0.5, 3.36275, -0.38062, 6.86833
0.5, 4.75, 0.5, 3.27781, -0.570381, 6.98568
0.5, 5, 0.5, 3.45622, -0.811655, 6.75242
0.5, 5.25, 0.5, 3.33918, -0.987278, 6.90786
0.5, 5.5, 0.5, 3.27317, -1.16685, 7.00152
0.5, 5.75, 0.5, 3.33385, -1.39127, 6.92228
0.5, 6, 0.5, 3.14926, -1.50579, 7.19999
0.5, 6.25, 0.5, 3.20351, -1.72659, 7.12008
0.5, 6.5, 0.5, 2.82695, -1.69558, 7.79164
0.5, 6.75, 0.5, 2.87233, -1.89751, 7.70783
0.5, 7, 0.5, 2.89739, -2.0903, 7.66618
0.5, 7.25, 0.5, 2.92268, -2.28632, 7.62522
0.5, 7.5, 0.5, 2.93729, -2.47642, 7.60158
0.5, 7.75, 0.5, 2.94109, -2.65852, 7.60105
0.5, 8, 0.5, 2.96714, -2.86254, 7.56015
0.75, 0, 0.5, 2.84813, 2.97702, 7.43619
0.75, 0.25, 0.5, 2.73985, 2.6864, 7.64229
0.75, 0.5, 0.5, 2.74543, 2.51406, 7.62462
0.75, 0.75, 0.5, 2.72117, 2.3156, 7.66616
0.75, 1, 0.5, 2.64913, 2.08273, 7.80951
0.75, 1.25, 0.5, 2.58806, 1.8671, 7.93584
0.75, 1.5, 0.5, 3.16361, 2.07743, 6.88278
0.75, 1.75, 0.5, 3.05277, 1.80693, 7.04051
0.75, 2, 0.5, 3.07501, 1.62094, 7.00032
0.75, 2.25, 0.5, 3.04538, 1.40809, 7.04039
0.75, 2.5, 0.5, 3.2417, 1.28891, 6.75262
0.75, 2.75, 0.5, 3.23915, 1.07812, 6.752
0.75, 3, 0.5, 3.12417, 0.837506, 6.90777
0.75, 3.25, 0.5, 3.12123, 0.634571, 6.90751
0.75, 3.5, 0.5, 3.17392, 0.439725, 6.83012
0.75, 3.75, 0.5, 3.11839, 0.230068, 6.9077
0.75, 4, 0.5, 3.11884, 0.0281093, 6.90676
0.75, 4.25, 0.5, 3.11913, -0.173899, 6.90674
0.75, 4.5, 0.5, 3.14595, -0.379143, 6.86837
0.75, 4.75, 0.5, 3.17508, -0.588288, 6.82956
0.75, 5, 0.5, 3.15141, -0.788003, 6.86808
0.75, 5.25, 0.5, 3.12723, -0.984494, 6.90731
0.75, 5.5, 0.5, 3.1307, -1.18835, 6.90668
0.75, 5.75, 0.5, 3.27387, -1.45472, 6.71432
0.75, 6, 0.5, 3.04738, -1.55145, 7.04098
0.75, 6.25, 0.5, 3.1568, -1.81161, 6.8839
0.75, 6.5, 0.5, 3.05718, -1.95243, 7.04035
0.75, 6.75, 0.5, 2.60523, -1.83253, 7.89374
0.75, 7, 0.5, 2.62902, -2.01953, 7.85152
0.75, 7.25, 0.5, 2.65183, -2.2088, 7.80905
0.75, 7.5, 0.5, 2.69376, -2.41819, 7.72592
0.75, 7.75, 0.5, 2.77983, -2.67548, 7.55901
0.75, 8, 0.5, 2.7622, -2.83742, 7.60092
1, 0, 0.5, 2.58079, 2.88439, 7.60156
1, 0.25, 0.5, 2.55765, 2.68141, 7.6425
1, 0.5, 0.5, 2.48084, 2.42908, 7.80892
1, 0.75, 0.5, 2.45815, 2.23665, 7.85216
1, 1, 0.5, 2.43755, 2.0491, 7.89316
1, 1.25, 0.5, 2.81076, 2.16818, 7.12043
1, 1.5, 0.5, 2.82903, 1.98637, 7.08074
1, 1.75, 0.5, 2.88334, 1.82483, 6.98594
1, 2, 0.5, 2.97974, 1.6795, 6.82949
1, 2.25, 0.5, 2.92394, 1.44556, 6.90727
1, 2.5, 0.5, 2.96939, 1.2624, 6.8298
1, 2.75, 0.5, 2.95218, 1.05064, 6.85344
1, 3, 0.5, 2.92396, 0.838118, 6.89255
1, 3.25, 0.5, 2.97092, 0.645841, 6.81508
1, 3.5, 0.5, 2.9176, 0.432204, 6.89315
1, 3.75, 0.5, 2.91659, 0.230081, 6.89241
1, 4, 0.5, 2.9156, 0.0280973, 6.89253
1, 4.25, 0.5, 2.91712, -0.173899, 6.89208
1, 4.5, 0.5, 2.91847, -0.376084, 6.89258
1, 4.75, 0.5, 2.89418, -0.573376, 6.93218
1, 5, 0.5, 2.94799, -0.788185, 6.85386
1, 5.25, 0.5, 3.00371, -1.01109, 6.77601
1, 5.5, 0.5, 2.96942, -1.20518, 6.82959
1, 5.75, 0.5, 2.9727, -1.41237, 6.8301
1, 6, 0.5, 2.90243, -1.57998, 6.94638
1, 6.25, 0.5, 2.90596, -1.78314, 6.94651
1, 6.5, 0.5, 2.96218, -2.02277, 6.86794
1, 6.75, 0.5, 2.85629, -2.14826, 7.04096
1, 7, 0.5, 2.8149, -2.31206, 7.11935
1, 7.25, 0.5, 2.47553, -2.20475, 7.80964
1, 7.5, 0.5, 2.49668, -2.39648, 7.76773
1, 7.75, 0.5, 2.5192, -2.59255, 7.72636
1, 8, 0.5, 2.60004, -2.85579, 7.55947
1.25, 0, 0.5, 2.38094, 2.85902, 7.64246
1.25, 0.25, 0.5, 2.36854, 2.6679, 7.6661
1.25, 0.5, 0.5, 2.28866, 2.40764, 7.85142
1.25, 0.75, 0.5, 2.27539, 2.22439, 7.87581
1.25, 1, 0.5, 2.79944, 2.52841, 6.80566
1.25, 1.25, 0.5, 2.72216, 2.25608, 6.92195
1.25, 1.5, 0.5, 2.7281, 2.05803, 6.90719
1.25, 1.75, 0.5, 2.7695, 1.8832, 6.8301
1.25, 2, 0.5, 2.76508, 1.67446, 6.82951
1.25, 2.25, 0.5, 2.74593, 1.45856, 6.85372
1.25, 2.5, 0.5, 2.76612, 1.26348, 6.81464
1.25, 2.75, 0.5, 2.71407, 1.03777, 6.89214
1.25, 3, 0.5, 2.68632, 0.827289, 6.93202
1.25, 3.25, 0.5, 2.63783, 0.616095, 7.01001
1.25, 3.5, 0.5, 2.65908, 0.423216, 6.97074
1.25, 3.75, 0.5, 2.65737, 0.22523, 6.97088
1.25, 4, 0.5, 2.67945, 0.0277426, 6.93162
1.25, 4.25, 0.5, 2.65597, -0.170112, 6.9713
1.25, 4.5, 0.5, 2.65834, -0.368051, 6.97026
1.25, 4.75, 0.5, 2.63703, -0.561301, 7.01004
1.25, 5, 0.5, 2.68528, -0.771364, 6.93204
1.25, 5.25, 0.5, 2.68889, -0.97246, 6.93213
1.25, 5.5, 0.5, 2.69304, -1.17433, 6.93154
1.25, 5.75, 0.5, 2.68816, -1.37221, 6.94645
1.25, 6, 0.5, 2.73876, -1.60181, 6.86884
1.25, 6.25, 0.5, 2.72044, -1.7935, 6.90785
1.25, 6.5, 0.5, 2.79776, -2.05264, 6.79144
1.25, 6.75, 0.5, 2.67532, -2.16185, 7.0009
1.25, 7, 0.5, 2.63533, -2.32562, 7.08033
1.25, 7.25, 0.5, 2.64111, -2.52722, 7.08006
1.25, 7.5, 0.5, 2.3121, -2.38443, 7.79191
1.25, 7.75, 0.5, 2.33296, -2.57952, 7.75018
1.25, 8, 0.5, 2.40711, -2.8406, 7.5836
1.5, 0, 0.5, 2.19228, 2.84409, 7.66723
1.5, 0.25, 0.5, 2.11872, 2.57835, 7.85105
1.5, 0.5, 0.5, 2.09887, 2.38547, 7.89407
1.5, 0.75, 0.5, 2.54553, 2.68851, 6.88333
1.5, 1, 0.5, 2.45568, 2.39622, 7.04091
1.5, 1.25, 0.5, 2.50156, 2.2399, 6.94637
1.5, 1.5, 0.5, 2.56149, 2.08767, 6.83008
1.5, 1.75, 0.5, 2.51287, 1.84605, 6.90731
1.5, 2, 0.5, 2.53821, 1.66063, 6.85429
1.5, 2.25, 0.5, 2.53344, 1.45386, 6.85325
1.5, 2.5, 0.5, 2.42188, 1.19516, 7.04965
1.5, 2.75, 0.5, 2.45931, 1.01595, 6.97023
1.5, 3, 0.5, 2.45481, 0.816761, 6.97098
1.5, 3.25, 0.5, 2.41085, 0.608343, 7.04965
1.5, 3.5, 0.5, 2.4276, 0.417433, 7.00986
1.5, 3.75, 0.5, 2.67108, 0.244589, 6.59756
1.5, 4, 0.5, 2.69428, 0.0301386, 6.56081
1.5, 4.25, 0.5, 2.69596, -0.186553, 6.56073
1.5, 4.5, 0.5, 2.66003, -0.397888, 6.61104
1.5, 4.75, 0.5, 2.38979, -0.549564, 7.08885
1.5, 5, 0.5, 2.43212, -0.754801, 7.01005
1.5, 5.25, 0.5, 2.39591, -0.936154, 7.08921
1.5, 5.5, 0.5, 2.46173, -1.15976, 6.97132
1.5, 5.75, 0.5, 2.46685, -1.36046, 6.97129
1.5, 6, 0.5, 2.49327, -1.57545, 6.93211
1.5, 6.25, 0.5, 2.54324, -1.81146, 6.8536
1.5, 6.5, 0.5, 2.51687, -1.99499, 6.90675
1.5, 6.75, 0.5, 2.52151, -2.20135, 6.90726
1.5, 7, 0.5, 2.64091, -2.51788, 6.71383
1.5, 7.25, 0.5, 2.43983, -2.52229, 7.08016
1.5, 7.5, 0.5, 2.42386, -2.70061, 7.12002
1.5, 7.75, 0.5, 2.14036, -2.55679, 7.79199
1.5, 8, 0.5, 2.1517, -2.7433, 7.76757
1.75, 0, 0.5, 1.99846, 2.81925, 7.70897
1.75, 0.25, 0.5, 1.95152, 2.58246, 7.83446
1.75, 0.5, 0.5, 2.20822, 2.72914, 7.15995
1.75, 0.75, 0.5, 2.27832, 2.61662, 7.00083
1.75, 1, 0.5, 2.3608, 2.505, 6.82938
1.75, 1.25, 0.5, 2.37647, 2.31389, 6.79092
1.75, 1.5, 0.5, 2.35947, 2.0911, 6.81497
1.75, 1.75, 0.5, 2.29319, 1.83192, 6.93153
1.75, 2, 0.5, 2.2871, 1.62713, 6.93163
1.75, 2.25, 0.5, 2.26091, 1.41088, 6.97067
1.75, 2.5, 0.5, 2.23743, 1.20065, 7.01011
1.75, 2.75, 0.5, 2.42355, 1.08869, 6.64854
1.75, 3, 0.5, 2.47371, 0.894993, 6.56067
1.75, 3.25, 0.5, 2.49267, 0.683969, 6.52349
1.75, 3.5, 0.5, 2.5131, 0.469907, 6.48717
1.75, 3.75, 0.5, 2.52181, 0.251105, 6.47496
1.75, 4, 0.5, 2.54603, 0.0309697, 6.43802
